Test Method,# configuration parameter,Configuration Key
alluxio.client.file.cache.LocalCacheManagerTest#asyncCacheSamePage,40,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.user.client.cache.evictor.class=alluxio.client.file.cache.evictor.LRUCacheEvictor;alluxio.user.client.cache.evictor.nondeterministic.enabled=false;alluxio.user.client.cache.evictor.lfu.logbase=2.0;alluxio.user.client.cache.eviction.retries=10;alluxio.user.client.cache.local.store.file.buckets=1000;alluxio.version=2.10.0-SNAPSHOT;alluxio.user.client.cache.timeout.threads=32;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.client.file.cache.DefaultMetaStoreTest#hasPage,33,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.client.block.stream.GrpcBlockingStreamTest#receiveFailsAfterCanceled,31,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.client.file.cache.LocalCacheManagerTest#putWithQuotaMoreThanCacheCapacity,41,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.user.client.cache.evictor.class=alluxio.client.file.cache.evictor.LRUCacheEvictor;alluxio.user.client.cache.evictor.nondeterministic.enabled=false;alluxio.user.client.cache.evictor.lfu.logbase=2.0;alluxio.user.client.cache.async.write.threads=16;alluxio.user.client.cache.eviction.retries=10;alluxio.user.client.cache.local.store.file.buckets=1000;alluxio.version=2.10.0-SNAPSHOT;alluxio.user.client.cache.timeout.threads=32;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.client.block.policy.RoundRobinPolicyTest#getWorker,29,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;]
alluxio.client.file.cache.TimeBoundPageStoreTest#concurrentPutWithSmallThreadPool,36,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.user.client.cache.store.type=LOCAL;alluxio.user.client.cache.local.store.file.buckets=1000;alluxio.version=2.10.0-SNAPSHOT;alluxio.user.client.cache.timeout.threads=32;alluxio.user.client.cache.store.overhead=null;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;]
alluxio.client.block.stream.BufferCachingGrpcDataReaderTest#testOutOfBound,31,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.client.file.cache.LocalCacheManagerTest#deleteExist,41,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.user.client.cache.evictor.class=alluxio.client.file.cache.evictor.LRUCacheEvictor;alluxio.user.client.cache.evictor.nondeterministic.enabled=false;alluxio.user.client.cache.evictor.lfu.logbase=2.0;alluxio.user.client.cache.async.write.threads=16;alluxio.user.client.cache.eviction.retries=10;alluxio.user.client.cache.local.store.file.buckets=1000;alluxio.version=2.10.0-SNAPSHOT;alluxio.user.client.cache.timeout.threads=32;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.client.file.cache.allocator.AffinityHashAllocatorTest#affinityTest,40,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.user.client.cache.dirs=/tmp/alluxio_cache;alluxio.user.client.cache.size=512MB;alluxio.user.client.cache.store.type=LOCAL;alluxio.user.client.cache.local.store.file.buckets=1000;alluxio.user.client.cache.page.size=1MB;alluxio.version=2.10.0-SNAPSHOT;alluxio.user.client.cache.timeout.duration=-1;alluxio.user.client.cache.timeout.threads=32;alluxio.user.client.cache.store.overhead=null;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
alluxio.client.file.FileSystemContextTest#acquireAtMaxLimit,56,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.security.authentication.type=SIMPLE;alluxio.user.worker.list.refresh.interval=2min;alluxio.master.rpc.addresses=null;alluxio.master.rpc.port=19998;alluxio.master.embedded.journal.addresses=null;alluxio.master.hostname=null;alluxio.network.ip.address.used=false;alluxio.network.host.resolution.timeout=5sec;alluxio.master.embedded.journal.port=19200;alluxio.user.metrics.collection.enabled=true;alluxio.metrics.conf.file=/opt/alluxio/conf/metrics.properties;alluxio.conf.dir=${alluxio.home}/conf;alluxio.home=/opt/alluxio;alluxio.user.app.id=null;alluxio.user.metrics.heartbeat.interval=10sec;alluxio.user.file.master.client.pool.size.min=0;alluxio.user.file.master.client.pool.size.max=500;alluxio.user.file.master.client.pool.gc.interval=120sec;alluxio.user.file.master.client.pool.gc.threshold=120sec;alluxio.user.block.master.client.pool.size.min=0;alluxio.user.block.master.client.pool.size.max=500;alluxio.user.block.master.client.pool.gc.interval=120sec;alluxio.user.block.master.client.pool.gc.threshold=120sec;alluxio.user.logging.threshold=10s;alluxio.user.conf.sync.interval=1min;alluxio.leak.detector.exit.on.leak=false;alluxio.leak.detector.level=DISABLED;]
