Test Method,# configuration parameter,Configuration Key
alluxio.underfs.local.LocalUnderFileSystemFactoryTest#factory,33,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.underfs.strict.version.match.enabled=false;alluxio.home=/opt/alluxio;alluxio.extensions.dir=/opt/alluxio/extensions;alluxio.underfs.version=3.3.1;]
alluxio.underfs.local.LocalUnderFileSystemTest#getFileStatusFails,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#testSymlinkNonSkip,5,[alluxio.underfs.strict.version.match.enabled=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;]
alluxio.underfs.local.LocalUnderFileSystemTest#renameFile,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#getDirStatus,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#getOperationMode,5,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;]
alluxio.underfs.local.LocalUnderFileSystemTest#mkdirs,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#open,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#testBrokenSymlinkSkip,5,[alluxio.underfs.strict.version.match.enabled=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;]
alluxio.underfs.local.LocalUnderFileSystemTest#mkdirsWithCreateParentEqualToFalse,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authorization.permission.umask=022;alluxio.security.authentication.type=SIMPLE;]
alluxio.underfs.local.LocalUnderFileSystemTest#isFile,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#getFileLocations,10,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;alluxio.worker.hostname=null;alluxio.worker.bind.host=0.0.0.0;alluxio.network.ip.address.used=false;]
alluxio.underfs.local.LocalUnderFileSystemTest#getFileStatus,8,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;alluxio.user.block.size.bytes.default=64MB;]
alluxio.underfs.local.LocalUnderFileSystemTest#nonRecursiveDelete,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#recursiveDelete,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#exists,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#create,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#deleteFile,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
alluxio.underfs.local.LocalUnderFileSystemTest#getDirStatusFails,7,[alluxio.underfs.strict.version.match.enabled=false;alluxio.underfs.local.skip.broken.symlinks=false;alluxio.network.host.resolution.timeout=5sec;alluxio.user.app.id=null;alluxio.underfs.logging.threshold=10s;alluxio.security.authentication.type=SIMPLE;alluxio.security.authorization.permission.umask=022;]
