Test Method,# configuration parameter,Configuration Key
alluxio.underfs.s3a.S3AUnderFileSystemFactoryTest#supportsPath,30,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.underfs.strict.version.match.enabled=false;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#stripPrefixIfPresent,2,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#deleteNonRecursiveOnAmazonClientException,4,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;alluxio.underfs.s3.list.objects.v1=false;alluxio.underfs.listing.length=1000;]
alluxio.underfs.s3a.S3AUnderFileSystemFactoryTest#factory,33,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.underfs.strict.version.match.enabled=false;alluxio.home=/opt/alluxio;alluxio.extensions.dir=/opt/alluxio/extensions;alluxio.underfs.version=3.3.1;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#isFile404,2,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#createCredentialsFromDefault,4,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;s3a.secretKey=null;s3a.accessKeyId=null;]
alluxio.underfs.s3a.S3AUnderFileSystemFactoryTest#createInstanceWithPath,49,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.underfs.strict.version.match.enabled=false;s3a.accessKeyId=null;alluxio.underfs.s3.max.error.retry=null;alluxio.underfs.s3.connection.ttl=-1;alluxio.underfs.s3.socket.timeout=50sec;alluxio.underfs.s3.secure.http.enabled=false;alluxio.underfs.s3.server.side.encryption.enabled=false;alluxio.underfs.s3.proxy.host=null;alluxio.underfs.s3.proxy.port=null;alluxio.underfs.s3.admin.threads.max=20;alluxio.underfs.s3.upload.threads.max=20;alluxio.underfs.s3.threads.max=40;alluxio.underfs.s3.request.timeout=1min;alluxio.underfs.s3.streaming.upload.enabled=false;alluxio.underfs.s3.signer.algorithm=null;alluxio.underfs.s3.endpoint=null;alluxio.underfs.s3.disable.dns.buckets=false;alluxio.underfs.s3.region=null;alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;]
alluxio.underfs.s3a.S3AUnderFileSystemFactoryTest#createInstanceWithNullPath,30,[alluxio.test.mode=true;alluxio.conf.validation.enabled=true;alluxio.master.worker.connect.wait.time=5sec;alluxio.user.rpc.retry.max.sleep=3sec;alluxio.master.standby.heartbeat.interval=2min;alluxio.master.heartbeat.timeout=10min;alluxio.integration.yarn.workers.per.host.max=1;alluxio.user.file.buffer.bytes=8MB;alluxio.zookeeper.address=null;alluxio.zookeeper.enabled=false;alluxio.locality.order=node,rack;alluxio.master.tieredstore.global.levels=3;alluxio.master.tieredstore.global.level0.alias=MEM;alluxio.master.tieredstore.global.level1.alias=SSD;alluxio.master.tieredstore.global.level2.alias=HDD;alluxio.worker.tieredstore.levels=1;alluxio.worker.tieredstore.level0.alias=MEM;alluxio.master.throttle.active.heap.used.ratio=0.5;alluxio.master.throttle.stressed.heap.used.ratio=0.8;alluxio.master.throttle.overloaded.heap.used.ratio=0.9;alluxio.master.throttle.active.cpu.load.ratio=0.5;alluxio.master.throttle.stressed.cpu.load.ratio=0.8;alluxio.master.throttle.overloaded.cpu.load.ratio=0.95;alluxio.master.throttle.active.heap.gc.time=1sec;alluxio.master.throttle.stressed.heap.gc.time=5sec;alluxio.master.throttle.overloaded.heap.gc.time=10sec;alluxio.master.throttle.active.rpc.queue.size=50000;alluxio.master.throttle.stressed.rpc.queue.size=100000;alluxio.master.throttle.overloaded.rpc.queue.size=150000;alluxio.underfs.strict.version.match.enabled=false;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#renameOnAmazonClientException,2,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#createCredentialsFromConf,2,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#getPermissionsCached,5,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;alluxio.underfs.s3.default.mode=0700;alluxio.underfs.s3.inherit.acl=true;alluxio.underfs.s3.owner.id.to.username.mapping=null;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#isFileException,2,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#getPermissionsWithMapping,4,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;alluxio.underfs.s3.default.mode=0700;alluxio.underfs.s3.inherit.acl=true;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#getPermissionsDefault,4,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;alluxio.underfs.s3.default.mode=0700;alluxio.underfs.s3.inherit.acl=true;]
alluxio.underfs.s3a.S3AUnderFileSystemTest#getPermissionsNoMapping,4,[alluxio.underfs.object.store.service.threads=20;alluxio.underfs.object.store.breadcrumbs.enabled=true;alluxio.underfs.s3.default.mode=0700;alluxio.underfs.s3.inherit.acl=true;]
