Test Method,# configuration parameter,Configuration Key
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testNestedObjects,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.configuration.ConfigUtilsTest#nullCollectionPutsNothingInConfig,1,[test.option.key=null;]
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathsEmptyArray,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.common.io.DelimitedInputFormatTest#testReadOverSplitBoundariesUnaligned,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadNoPosAllDeflate,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testSimpleTypesObjects,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.DelimitedInputFormatTest#testReadRecordsLargerThanBuffer,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.core.security.FlinkSecurityManagerTest#testRegistrationNotAllowedByExistingSecurityManager,1,[cluster.processes.halt-on-fatal-error=false;]
org.apache.flink.configuration.ConfigurationTest#testMapNotContained,1,[test-map-key=Optional.empty;]
org.apache.flink.configuration.SecurityOptionsTest#checkEnableRestSSLAuthentication,1,[security.ssl.enabled=false;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testCompositeObject,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.io.DelimitedInputFormatTest#testSerialization,4,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;]
org.apache.flink.configuration.ConfigurationTest#testDeprecatedKeys,4,[does-not-exist=-1;foo=Optional.empty;not-there=Optional.empty;also-not-there=Optional.empty;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericArraySerializerTest#testBeanStyleObjects,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testSparseParse,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testString,1,[pipeline.force-kryo=false;]
org.apache.flink.TestDebug#test,12,[myname=default;myage=0;fs.s3a.select.output.csv.quote.fields=null;hadoop.http.staticuser.user=null;stringOption=my-beautiful-default;intOption=42;longOption=42;floatOption=42.0;doubleOption=42.0;booleanOption=true;stringOption2=null;classOption=PT42S;]
org.apache.flink.api.java.typeutils.runtime.PojoGenericTypeSerializerTest#testBeanStyleObjects,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsMultipleFilesMultiplePathsNoCachedVersion,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.core.security.FlinkSecurityManagerTest#testThrowConfiguration,1,[cluster.processes.halt-on-fatal-error=false;]
org.apache.flink.api.java.typeutils.runtime.PojoGenericTypeSerializerTest#testCompositeObject,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathNullString,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.java.typeutils.runtime.TupleSerializerTest#testTuple5CustomObjects,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.configuration.RestOptionsTest#testBindAddressFirstDeprecatedKey,1,[rest.bind-address=foobar;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testString,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerCompatibilityTest#testMigrationStrategyForDifferentRegistrationOrder,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.DelimitedInputFormatSamplingTest#testSamplingOneFile,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=4;compiler.delimited-informat.min-line-samples=4;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.PojoGenericTypeSerializerTest#testSimpleTypesObjects,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerConcurrencyCheckInactiveITCase#testWithNoConcurrencyCheck,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.serialization.TypeInformationSerializationSchemaTest#testDeSerialization,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.io.DelimitedInputFormatSamplingTest#testNumSamplesOneFile,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=4;compiler.delimited-informat.min-line-samples=4;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileOutputFormatTest#testCreateParallelLocalFS,13,[fs.overwrite-files=false;fs.output.always-create-directory=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.FileInputFormatTest#testCreateInputSplitSingleFile,13,[taskmanager.runtime.fs_timeout=0;recursive.file.enumeration=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.configuration.FilesystemSchemeConfigTest#testDefaultsToLocal,11,[fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#replacingKryoSerializersIsCompatibleAsIs,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathNullPath,1,[taskmanager.runtime.fs_timeout=0;]
org.apache.flink.api.java.typeutils.runtime.MultidimensionalArraySerializerTest#testObjectArrays,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.common.state.ListStateDescriptorTest#testSerializerDuplication,1,[pipeline.force-kryo=false;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testCompositeObject,1,[pipeline.force-kryo=false;]
org.apache.flink.api.common.io.FileOutputFormatTest#testOverwriteParallelLocalFS,13,[fs.overwrite-files=false;fs.output.always-create-directory=false;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadInvalidContentsLenient,18,[taskmanager.runtime.fs_timeout=0;compiler.delimited-informat.max-line-samples=10;compiler.delimited-informat.min-line-samples=2;compiler.delimited-informat.max-sample-len=2097152;recursive.file.enumeration=false;delimited-format.delimiter=null;delimited-format.numSamples=null;fs.file.limit.total=-1;fs.file.limit.input=-1;fs.file.limit.output=-1;fs.test.limit.total=-1;fs.test.limit.input=-1;fs.test.limit.output=-1;fs.test-entropy.limit.total=-1;fs.test-entropy.limit.input=-1;fs.test-entropy.limit.output=-1;fs.default-scheme=null;fs.allowed-fallback-filesystems=;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testSimpleTypesObjects,2,[pipeline.generic-types=true;pipeline.force-kryo=false;]
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testCompositeObject,1,[pipeline.force-kryo=false;]
