test;failure_id;config;exception;message;stacktrace
org.apache.hadoop.security.TestUserGroupInformation#testConstructorWithKerberos;id_000000;[hadoop.security.groups.cache.secs=0];java.lang.IllegalArgumentException;duration must be positive: 0 MILLISECONDS;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkArgument(Preconditions.java:387), org.apache.hadoop.thirdparty.com.google.common.cache.CacheBuilder.refreshAfterWrite(CacheBuilder.java:844), org.apache.hadoop.security.Groups.<init>(Groups.java:137), org.apache.hadoop.security.Groups.<init>(Groups.java:102), org.apache.hadoop.security.Groups.getUserToGroupsMappingService(Groups.java:451)]
org.apache.hadoop.crypto.key.TestKeyProviderFactory#testUserProvider;id_000000;[hadoop.security.key.default.bitlength=1751887613];java.io.IOException;Wrong key length. Required 1751887613, but got 128;[org.apache.hadoop.crypto.key.UserProvider.createKey(UserProvider.java:91), org.apache.hadoop.crypto.key.TestKeyProviderFactory.checkSpecificProvider(TestKeyProviderFactory.java:120), org.apache.hadoop.crypto.key.TestKeyProviderFactory.testUserProvider(TestKeyProviderFactory.java:204), org.apache.hadoop.crypto.key.TestKeyProviderFactory.testUserProvider$$CONFUZZ(TestKeyProviderFactory.java), jdk.internal.reflect.NativeMethodAccessorImpl.invoke0(Native Method)]
org.apache.hadoop.crypto.key.TestKeyProviderFactory#testFactory;id_000000;[file.bytes-per-checksum=0];java.lang.IllegalArgumentException;Invalid value of fs.creation.parallel.count: 0;[org.apache.hadoop.thirdparty.com.google.common.base.Preconditions.checkArgument(Preconditions.java:415), org.apache.hadoop.fs.FileSystem$Cache.<init>(FileSystem.java:3514), org.apache.hadoop.fs.FileSystem.<clinit>(FileSystem.java:206), org.apache.hadoop.fs.Path.getFileSystem(Path.java:365), org.apache.hadoop.crypto.key.JavaKeyStoreProvider.<init>(JavaKeyStoreProvider.java:133)]
org.apache.hadoop.ipc.TestMultipleProtocolServer#testPBService;id_000000;[ipc.server.read.threadpool.size=1537083334];org.junit.internal.runners.model.MultipleFailureException;There were 2 errors:,  java.lang.RuntimeException(java.util.concurrent.LinkedBlockingQueue could not be constructed.),  java.lang.NullPointerException(null);[org.junit.runners.model.MultipleFailureException.assertEmpty(MultipleFailureException.java:102), org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:39), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.berkeley.cs.jqf.fuzz.guidance.Guidance.run(Guidance.java:222)]
org.apache.hadoop.ipc.TestRPC#testErrorMsgForInsecureClient;id_000000;[ipc.server.read.threadpool.size=959158792];java.lang.OutOfMemoryError;Java heap space;[org.apache.hadoop.ipc.Server$Listener.<init>(Server.java:1240), org.apache.hadoop.ipc.Server.<init>(Server.java:3127), org.apache.hadoop.ipc.RPC$Server.<init>(RPC.java:1062), org.apache.hadoop.ipc.ProtobufRpcEngine2$Server.<init>(ProtobufRpcEngine2.java:468), org.apache.hadoop.ipc.ProtobufRpcEngine2.getServer(ProtobufRpcEngine2.java:371)]
org.apache.hadoop.ipc.TestRPC#testConnectionPing;id_000000;[ipc.server.read.threadpool.size=1088259942];java.lang.OutOfMemoryError;Java heap space;[org.apache.hadoop.ipc.Server$Listener.<init>(Server.java:1240), org.apache.hadoop.ipc.Server.<init>(Server.java:3127), org.apache.hadoop.ipc.RPC$Server.<init>(RPC.java:1062), org.apache.hadoop.ipc.ProtobufRpcEngine2$Server.<init>(ProtobufRpcEngine2.java:468), org.apache.hadoop.ipc.ProtobufRpcEngine2.getServer(ProtobufRpcEngine2.java:371)]
org.apache.hadoop.metrics2.sink.TestRollingFileSystemSinkWithLocal#testExistingWrite;id_000000;[file.bytes-per-checksum=1958588727];java.lang.OutOfMemoryError;Java heap space;[java.io.BufferedOutputStream.<init>(BufferedOutputStream.java:75), org.apache.hadoop.fs.statistics.BufferedIOStatisticsOutputStream.<init>(BufferedIOStatisticsOutputStream.java:78), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:428), org.apache.hadoop.fs.RawLocalFileSystem.create(RawLocalFileSystem.java:459), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:433)]
org.apache.hadoop.metrics2.sink.TestRollingFileSystemSinkWithLocal#testExistingWrite2;id_000000;[file.bytes-per-checksum=911734008];java.lang.NegativeArraySizeException;-384328520;[org.apache.hadoop.fs.FSOutputSummer.<init>(FSOutputSummer.java:55), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSOutputSummer.<init>(ChecksumFileSystem.java:430), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:521), org.apache.hadoop.fs.ChecksumFileSystem.create(ChecksumFileSystem.java:500), org.apache.hadoop.fs.FileSystem.create(FileSystem.java:1195)]
org.apache.hadoop.security.TestDoAsEffectiveUser#testRealUserGroupAuthorizationFailure;id_000000;[ipc.server.read.threadpool.size=1332981928];java.lang.OutOfMemoryError;Java heap space;[org.apache.hadoop.ipc.Server$Listener.<init>(Server.java:1240), org.apache.hadoop.ipc.Server.<init>(Server.java:3127), org.apache.hadoop.ipc.RPC$Server.<init>(RPC.java:1062), org.apache.hadoop.ipc.ProtobufRpcEngine2$Server.<init>(ProtobufRpcEngine2.java:468), org.apache.hadoop.ipc.ProtobufRpcEngine2.getServer(ProtobufRpcEngine2.java:371)]
org.apache.hadoop.security.TestDoAsEffectiveUser#testRealUserAuthorizationSuccess;id_000000;[ipc.server.read.threadpool.size=955210543];java.lang.OutOfMemoryError;Java heap space;[org.apache.hadoop.ipc.Server$Listener.<init>(Server.java:1240), org.apache.hadoop.ipc.Server.<init>(Server.java:3127), org.apache.hadoop.ipc.RPC$Server.<init>(RPC.java:1062), org.apache.hadoop.ipc.ProtobufRpcEngine2$Server.<init>(ProtobufRpcEngine2.java:468), org.apache.hadoop.ipc.ProtobufRpcEngine2.getServer(ProtobufRpcEngine2.java:371)]
