test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.ipc.TestIPC#testInterrupted,22,22,114,114,0,1233,1237,14m 43s
org.apache.hadoop.security.token.delegation.web.TestWebDelegationToken#testDelegationTokenAuthenticatorCalls,16,16,6695,0,2,0,0,14m 55s
org.apache.hadoop.security.token.delegation.web.TestWebDelegationToken#testDelegationTokenAuthenticatedURLWithNoDT,16,16,6655,0,2,0,0,14m 55s
org.apache.hadoop.security.TestUserGroupInformation#testConstructorWithKerberos,16,16,6401,6135,2,1433,1440,14m 55s
org.apache.hadoop.crypto.key.TestKeyProviderFactory#testUserProvider,22,22,6667,0,2,0,0,14m 56s
org.apache.hadoop.crypto.key.TestKeyShell#testTransientProviderWarning,22,22,6766,6766,0,1250,1256,14m 55s
org.apache.hadoop.fs.TestFileUtil#testWriteStringFileContext,23,23,5460,5460,0,1738,1741,14m 55s
org.apache.hadoop.fs.TestFileUtil#testWriteBytesFileContext,23,23,5190,5190,0,1729,1732,14m 55s
org.apache.hadoop.fs.TestFileUtil#testWriteStringNoCharSetFileContext,23,23,5363,5363,0,1739,1742,14m 55s
org.apache.hadoop.fs.TestFileUtil#testWriteStringsFileContext,23,23,5431,5431,0,1730,1733,14m 55s
org.apache.hadoop.security.authorize.TestProxyUsers#testIPRange,20,20,5636,5636,0,1251,1251,14m 56s
org.apache.hadoop.security.authorize.TestProxyUsers#testWildcardUser,20,20,6198,6198,0,1215,1215,14m 56s
org.apache.hadoop.net.TestNetUtils#testInvalidAddress,3,4,6892,6892,0,1146,1152,14m 55s
org.apache.hadoop.net.TestScriptBasedMapping#testNoArgsMeansNoResult,2,2,7331,7331,0,1145,1150,14m 56s
org.apache.hadoop.fs.TestFileSystemCanonicalization#testAuthorityFromDefaultFS,3,5,6481,6481,0,1135,1135,14m 55s
org.apache.hadoop.security.TestUserGroupInformation#testSimpleLogin,18,18,6373,6373,0,1365,1370,14m 55s
