test_name,minConfigSize,maxConfigSize,num_of_executed_rounds,num_of_valid_rounds,unique_failures,init_coverage,total_coverage,fuzzing_time
org.apache.hadoop.hdfs.TestDecommissionWithStripedBackoffMonitor#testDecommissionWithBusyNode,531,531,1726,0,5,0,0,14m 28s
org.apache.hadoop.fs.viewfs.TestViewFileSystemHdfs#testGetMountPoints,589,605,1421,0,2,0,0,14m 25s
org.apache.hadoop.fs.viewfs.TestViewFileSystemHdfs#testInternalDeleteExisting2,589,605,1259,0,2,0,0,14m 23s
org.apache.hadoop.fs.viewfs.TestViewFileSystemHdfs#testGetDelegationTokensWithCredentials,589,606,1318,0,2,0,0,14m 25s
org.apache.hadoop.fs.viewfs.TestViewFileSystemHdfs#testInternalGetAllStoragePolicies,589,605,1409,0,2,0,0,14m 24s
org.apache.hadoop.hdfs.server.namenode.TestReencryptionWithKMS#testReencryptionKMSACLs,622,622,468,0,3,0,0,14m 26s
org.apache.hadoop.hdfs.server.namenode.TestFSImage#testSupportBlockGroup,533,533,1756,0,4,0,0,14m 28s
org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations#testCreateFlagAppendOverwrite,548,548,1420,0,2,0,0,14m 25s
org.apache.hadoop.hdfs.TestDecommissionWithBackoffMonitor#testDecommissionFederation,585,585,2060,0,6,0,0,14m 28s
org.apache.hadoop.hdfs.TestClientReportBadBlock#testFsckListCorruptFilesBlocks,525,525,124,0,5,0,0,14m 35s
org.apache.hadoop.hdfs.TestDecommissionWithStriped#testDecommissionWithMissingBlock,531,531,1717,0,5,0,0,14m 26s
org.apache.hadoop.hdfs.TestDecommissionWithStriped#testDecommissionWithBusyNode,529,529,1674,0,5,0,0,14m 28s
org.apache.hadoop.hdfs.TestDecommissionWithStripedBackoffMonitor#testFileMultipleBlockGroups,531,531,1657,0,5,0,0,14m 4s
org.apache.hadoop.hdfs.server.namenode.TestFSNamesystemLock#testFSLockGetWaiterCount,5,5,6353,6353,0,1360,1364,14m 56s
org.apache.hadoop.hdfs.server.namenode.TestFSNamesystemLock#testFsLockFairness,5,5,6442,6442,0,1332,1335,14m 56s
org.apache.hadoop.hdfs.TestDataStream#testDfsClient,522,526,1730,1,2,12552,12552,14m 15s
org.apache.hadoop.hdfs.server.namenode.TestProtectedDirectories#testRename,421,421,1741,0,4,0,0,14m 1s
org.apache.hadoop.hdfs.server.namenode.TestProtectedDirectories#testDelete,421,421,1225,0,4,0,0,14m 5s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testgetFSonDanglingLink,611,628,867,0,2,0,0,14m 17s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testGetContentSummary,611,628,780,0,2,0,0,14m 13s
org.apache.hadoop.hdfs.server.namenode.TestDiskspaceQuotaUpdate#testAppendOverTypeQuota,522,538,1267,1,2,21456,21456,14m 21s
org.apache.hadoop.hdfs.server.blockmanagement.TestBlockManager#testSafeModeIBR,99,101,27,0,2,0,0,14m 41s
org.apache.hadoop.fs.viewfs.TestViewFsLinkFallback#testMkdirShouldFailWhenFallbackFSNotAvailable,611,638,1064,0,2,0,0,14m 10s
org.apache.hadoop.hdfs.TestDecommission#testDecommissionFederation,583,583,2034,0,7,0,0,14m 22s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testOperationsThroughMountLinksInternal,611,627,826,0,2,0,0,14m 14s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testGetDelegationTokens,611,628,897,0,2,0,0,14m 17s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testGetDelegationTokensWithCredentials,611,628,841,0,2,0,0,14m 17s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testListOnMountTargetDirsInternal,611,627,872,0,2,0,0,14m 17s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testConfLinkFallback,611,629,953,0,2,0,0,14m 18s
org.apache.hadoop.hdfs.TestFileCreation#testFileCreationWithOverwrite,532,532,1865,0,4,0,0,14m 23s
org.apache.hadoop.fs.viewfs.TestViewFsLinkFallback#testMkdirOfNewDirWithOutMatchingToMountOrFallbackDirTree,611,619,1068,0,2,0,0,14m 15s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testCheckOwnerWithFileStatus,611,628,824,0,2,0,0,14m 14s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testInternalGetAllStoragePolicies,611,628,868,0,2,0,0,14m 13s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkRegex#testCheckOwnerWithFileStatus,613,626,884,0,2,0,0,14m 16s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkRegex#testListOnMountTargetDirsInternal,613,626,863,0,2,0,0,14m 14s
org.apache.hadoop.fs.TestWebHdfsFileContextMainOperations#testOutputStreamClosedTwice,529,530,999,999,0,16950,18797,14m 26s
org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations#testRenameDirectoryToNonExistentParent,548,549,1017,1017,0,11026,11551,14m 26s
org.apache.hadoop.hdfs.TestQuota#testSetAndClearSpaceQuotaPathIsFile,531,532,1040,1040,0,10613,12144,14m 31s
org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract#testRenameDirToSelf,525,533,1076,1076,0,9005,12018,14m 26s
org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract#testRenameFileAsExistingDirectory,525,533,1136,1136,0,9001,12248,14m 28s
org.apache.hadoop.fs.TestSymlinkHdfsFileSystem#testRenameFileToDanglingSymlink,531,532,1269,1269,0,12249,14196,14m 33s
org.apache.hadoop.fs.TestSymlinkHdfsFileSystem#testAccessFileViaInterSymlinkRelTarget,531,532,1127,1127,0,12208,14121,14m 33s
org.apache.hadoop.security.TestPermissionSymlinks#testAclDelete,525,527,1398,1398,0,13500,15432,14m 30s
org.apache.hadoop.fs.viewfs.TestViewFSOverloadSchemeWithMountTableConfigInHDFS#testNflyWriteRead,522,536,799,799,0,14488,16244,14m 33s
org.apache.hadoop.fs.TestSymlinkHdfsFileContext#testCreateLinkViaLink,532,534,1066,1066,0,13424,15210,14m 35s
org.apache.hadoop.fs.TestHDFSFileContextMainOperations#testBuilderCreateRecursive,523,525,1543,1543,0,12135,14029,14m 32s
org.apache.hadoop.hdfs.TestFileAppend3#testAppendToPartialChunk,525,527,1069,1069,0,13635,15575,14m 27s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testResolvePathThroughMountPoints,611,627,826,0,2,0,0,14m 18s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testTargetFileSystemLazyInitializationForChecksumMethods,611,632,897,0,2,0,0,14m 15s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testCloseChildrenFileSystem,611,629,896,0,2,0,0,14m 16s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testGetBlockLocations,611,627,916,0,2,0,0,14m 17s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testRenameAcrossMounts2,611,627,948,0,2,0,0,14m 16s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkFallback#testListingWithFallbackLink,611,628,851,0,2,0,0,14m 19s
org.apache.hadoop.hdfs.TestDecommissionWithBackoffMonitor#testDecommission,556,556,1700,0,7,0,0,14m 18s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testChildFileSystems,611,629,945,0,2,0,0,14m 18s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testResolvePathDanglingLink,611,628,925,0,2,0,0,14m 18s
org.apache.hadoop.fs.viewfs.TestViewFileSystemLinkMergeSlash#testConfLinkMergeSlashWithRegularLinks,611,631,769,0,2,0,0,14m 15s
