test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
alluxio.AbstractClientTest#confAddress@;@30@;@33@;@231277@;@231277@;@0@;@832@;@850@;@33@;@29m 54s
alluxio.underfs.options.MkdirsOptionsTest#defaults@;@30@;@33@;@336350@;@290722@;@1@;@394@;@441@;@33@;@29m 56s
alluxio.collections.LockPoolTest#referencedLockTest@;@31@;@34@;@164259@;@164259@;@0@;@301@;@314@;@34@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMalformedBooleanThrowsException@;@29@;@32@;@336019@;@336019@;@0@;@435@;@442@;@32@;@29m 56s
alluxio.conf.InstancedConfigurationTest#templatedKeyDependency@;@32@;@35@;@334471@;@334470@;@1@;@834@;@978@;@35@;@29m 56s
alluxio.conf.InstancedConfigurationTest#unset@;@30@;@33@;@335754@;@335754@;@0@;@429@;@440@;@33@;@29m 56s
alluxio.conf.InstancedConfigurationTest#getMsDay@;@30@;@33@;@335808@;@335808@;@0@;@985@;@988@;@33@;@29m 56s
alluxio.resource.DynamicResourcePoolTest#gc@;@31@;@34@;@1785@;@1785@;@0@;@978@;@981@;@34@;@29m 55s
alluxio.underfs.options.CreateOptionsTest#defaults@;@30@;@34@;@334897@;@289424@;@1@;@403@;@445@;@34@;@29m 54s
alluxio.conf.AlluxioPropertiesTest#get@;@31@;@35@;@100000@;@0@;@1@;@936@;@1093@;@35@;@22m 31s
alluxio.underfs.UnderFileSystemConfigurationTest#setUserSpecifiedConfRepeatedly@;@31@;@31@;@221704@;@221704@;@0@;@843@;@855@;@31@;@29m 51s
alluxio.conf.InstancedConfigurationTest#defaultLoggerCorrectlyLoaded@;@30@;@30@;@333855@;@333855@;@0@;@844@;@855@;@30@;@29m 55s
alluxio.conf.InstancedConfigurationTest#getEnum@;@30@;@30@;@334378@;@334378@;@0@;@833@;@844@;@30@;@29m 55s
