test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testNestedObjects@;@1@;@1@;@336065@;@336065@;@0@;@102@;@102@;@1@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerCompatibilityTest#testMigrationWithTypeDevoidOfAvroTypes@;@1@;@1@;@335645@;@335645@;@0@;@774@;@774@;@1@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerConcurrencyTest#testDuplicateSerializerWithDefaultSerializerClass@;@1@;@1@;@336349@;@336349@;@0@;@563@;@563@;@1@;@29m 56s
org.apache.flink.core.security.FlinkSecurityManagerTest#testDisabledConfiguration@;@2@;@2@;@336471@;@336471@;@0@;@175@;@175@;@2@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testSinglePathGetOnMultiPathIF@;@1@;@1@;@100000@;@0@;@1@;@450@;@450@;@0@;@2m 59s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testJodaTime@;@2@;@2@;@335948@;@335948@;@0@;@214@;@214@;@2@;@29m 56s
org.apache.flink.configuration.ConfigUtilsTest#arrayIsCorrectlyPutAndFetched@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.configuration.ConfigurationTest#testOptionWithNoDefault@;@3@;@3@;@100000@;@0@;@1@;@985@;@1000@;@3@;@3m 0s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#tryingToRestoreWithNonExistingClassShouldBeIncompatible@;@1@;@1@;@1853@;@1853@;@0@;@10915@;@10915@;@1@;@29m 51s
org.apache.flink.api.common.io.EnumerateNestedFilesTest#testOneNestedDirectoryTrue@;@13@;@13@;@168785@;@168054@;@1@;@611@;@611@;@1@;@30m 0s
org.apache.flink.configuration.ConfigurationUtilsTest#testGetPrefixedKeyValuePairs@;@2@;@2@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.configuration.DelegatingConfigurationTest#testSetReturnsDelegatingConfiguration@;@1@;@1@;@336352@;@336352@;@0@;@465@;@465@;@1@;@29m 56s
org.apache.flink.configuration.DelegatingConfigurationTest#testDelegationConfigurationToMapConsistentWithAddAllToProperties@;@4@;@4@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsNonExistingFile@;@13@;@13@;@323337@;@323337@;@0@;@527@;@527@;@1@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathsMulti@;@1@;@1@;@328840@;@328840@;@0@;@450@;@450@;@0@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsOneFileWithCachedVersion@;@13@;@13@;@171615@;@168368@;@2@;@568@;@587@;@1@;@30m 15s
org.apache.flink.configuration.ConfigurationTest#testMapWithoutPrefix@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testSimpleTypesObjects@;@1@;@1@;@9671@;@9671@;@0@;@1276@;@1282@;@1@;@29m 55s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#addingTypesIsCompatibleAfterReconfiguration@;@1@;@1@;@336500@;@336500@;@0@;@223@;@223@;@1@;@29m 56s
org.apache.flink.configuration.FilesystemSchemeConfigTest#testExplicitlyPathTakesPrecedence@;@11@;@17@;@319817@;@99640@;@1@;@1056@;@2132@;@17@;@30m 1s
org.apache.flink.core.security.FlinkSecurityManagerTest#testMultiSecurityManagersWithSetLastAndUnmonitored@;@2@;@2@;@336740@;@336740@;@0@;@213@;@213@;@2@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathOnMulti@;@1@;@1@;@336537@;@336537@;@0@;@452@;@452@;@0@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#reorderingIsCompatibleAfterReconfiguration@;@1@;@1@;@334686@;@334686@;@0@;@219@;@219@;@1@;@29m 56s
org.apache.flink.api.common.operators.base.OuterJoinOperatorBaseTest#testLeftOuterJoin@;@1@;@1@;@336526@;@336526@;@0@;@303@;@303@;@1@;@29m 56s
org.apache.flink.api.common.state.StateDescriptorTest#testSerializerDuplication@;@1@;@1@;@336631@;@336631@;@0@;@96@;@96@;@1@;@29m 56s
org.apache.flink.api.common.io.FileOutputFormatTest#testOverwriteNonParallelLocalFS@;@13@;@13@;@335443@;@335443@;@0@;@698@;@698@;@0@;@29m 56s
org.apache.flink.configuration.CoreOptionsTest#testGetPluginParentFirstLoaderPatterns@;@2@;@2@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.api.common.operators.base.MapOperatorTest#testMapWithRuntimeContext@;@1@;@1@;@336582@;@336582@;@0@;@132@;@132@;@1@;@29m 56s
org.apache.flink.api.common.io.EnumerateNestedFilesTest#testGetStatisticsMultipleNestedFiles@;@13@;@13@;@1737@;@1737@;@0@;@614@;@614@;@1@;@29m 54s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testString@;@1@;@1@;@71875@;@71875@;@0@;@98@;@98@;@1@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testSetPath@;@1@;@1@;@311179@;@311179@;@0@;@457@;@457@;@0@;@29m 56s
org.apache.flink.configuration.ConfigUtilsTest#nullArrayPutsNothingInConfig@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.configuration.ConfigurationTest#testConfigurationSerializationAndGetters@;@8@;@8@;@334965@;@334965@;@0@;@641@;@641@;@8@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoClearedBufferTest#testOutputBufferedBeingClearedInCaseOfException@;@1@;@1@;@336667@;@336667@;@0@;@553@;@553@;@1@;@29m 56s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testSparseParseWithIndicesMultiCharDelimiter@;@18@;@18@;@241448@;@238072@;@1@;@743@;@743@;@6@;@30m 21s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#readWithParseQuotedStrings@;@18@;@18@;@247636@;@244562@;@1@;@729@;@729@;@6@;@30m 20s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#readWithHeaderLine@;@18@;@18@;@240309@;@237468@;@1@;@735@;@735@;@6@;@30m 17s
org.apache.flink.api.common.serialization.TypeInformationSerializationSchemaTest#testDeSerialization@;@2@;@2@;@336078@;@336078@;@0@;@1077@;@1105@;@2@;@29m 56s
org.apache.flink.core.security.FlinkSecurityManagerTest#testMultiSecurityManagersWithSetFirstAndUnmonitored@;@2@;@2@;@336615@;@336615@;@0@;@212@;@212@;@2@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathNullPath@;@1@;@1@;@100000@;@0@;@1@;@419@;@419@;@0@;@2m 58s
org.apache.flink.api.common.io.FileInputFormatTest#testGetPathsWithoutSettingFirst@;@1@;@1@;@320921@;@320921@;@0@;@423@;@423@;@0@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsMultipleFilesNoCachedVersion@;@13@;@13@;@190995@;@190273@;@1@;@592@;@592@;@1@;@30m 2s
org.apache.flink.api.common.operators.GenericDataSinkBaseTest#testDataSourceWithRuntimeContext@;@1@;@1@;@336198@;@336198@;@0@;@133@;@133@;@1@;@29m 55s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testCompositeObject@;@1@;@1@;@18623@;@18623@;@0@;@1351@;@1391@;@1@;@29m 55s
org.apache.flink.api.common.io.FileOutputFormatTest#testOverwriteParallelLocalFS@;@13@;@13@;@336327@;@336327@;@0@;@638@;@638@;@0@;@29m 56s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadInvalidContentsLenient@;@18@;@18@;@248251@;@245319@;@1@;@741@;@741@;@6@;@30m 19s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testSimpleTypesObjects@;@1@;@1@;@330955@;@330955@;@0@;@108@;@108@;@1@;@29m 54s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testCompositeObject@;@1@;@1@;@332467@;@332467@;@0@;@97@;@97@;@1@;@29m 56s
org.apache.flink.configuration.DelegatingConfigurationTest#testDelegationConfigurationWithPrefix@;@2@;@2@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.api.common.io.FileInputFormatTest#testExcludeFiles@;@13@;@13@;@199344@;@198472@;@1@;@628@;@628@;@1@;@30m 1s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testSimpleTypesObjects@;@2@;@2@;@333226@;@333224@;@1@;@81@;@126@;@2@;@29m 53s
org.apache.flink.api.common.operators.GenericDataSourceBaseTest#testDataSourcePlain@;@1@;@1@;@330554@;@330554@;@0@;@96@;@96@;@1@;@29m 55s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerSnapshotTest#replacingKryoSerializersIsCompatibleAsIs@;@1@;@1@;@334532@;@334532@;@0@;@190@;@190@;@1@;@29m 55s
org.apache.flink.api.java.typeutils.runtime.MultidimensionalArraySerializerTest#testObjectArrays@;@2@;@2@;@330110@;@330110@;@0@;@291@;@291@;@2@;@29m 56s
org.apache.flink.api.common.io.EnumerateNestedFilesTest#testOneNestedDirectoryFalse@;@13@;@13@;@165409@;@164602@;@1@;@619@;@619@;@1@;@30m 2s
org.apache.flink.core.security.FlinkSecurityManagerTest#testRegistrationNotAllowedByExistingSecurityManager@;@2@;@2@;@336235@;@336235@;@0@;@249@;@249@;@2@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testNestedObjects@;@2@;@2@;@335792@;@335788@;@1@;@76@;@120@;@2@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testCompositeObject@;@2@;@2@;@336708@;@336706@;@1@;@70@;@115@;@2@;@29m 56s
org.apache.flink.configuration.ConfigUtilsTest#emptyArrayPutsEmptyValueInConfig@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.configuration.ConfigurationTest#testMapNotContained@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@0s
org.apache.flink.configuration.ConfigurationTest#testDeprecatedKeys@;@7@;@7@;@100000@;@0@;@2@;@985@;@1001@;@4@;@2m 58s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeComparatorTest#testString@;@1@;@1@;@12915@;@12915@;@0@;@923@;@923@;@1@;@29m 55s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testSparseParse@;@18@;@18@;@249931@;@246467@;@1@;@729@;@729@;@6@;@30m 20s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testForwardEOFExceptionWhileSerializing@;@1@;@1@;@105101@;@105101@;@0@;@489@;@489@;@1@;@29m 56s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoSerializerConcurrencyTest#testConcurrentUseOfSerializer@;@1@;@1@;@100000@;@0@;@1@;@475@;@480@;@1@;@3m 1s
org.apache.flink.configuration.ConfigurationTest#testRemoveKey@;@5@;@5@;@333623@;@333623@;@0@;@596@;@596@;@5@;@29m 56s
org.apache.flink.configuration.ConfigurationTest#testMapWithPrefix@;@3@;@3@;@100000@;@0@;@1@;@1007@;@1022@;@3@;@2m 59s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testMultiCharDelimiter@;@17@;@17@;@245424@;@242380@;@1@;@637@;@637@;@5@;@30m 18s
org.apache.flink.api.common.io.DelimitedInputFormatTest#testOpen@;@15@;@15@;@236600@;@233569@;@1@;@581@;@582@;@3@;@30m 22s
org.apache.flink.configuration.FilesystemSchemeConfigTest#testExplicitlySetToOther@;@11@;@17@;@310900@;@112375@;@1@;@1057@;@2135@;@17@;@30m 1s
org.apache.flink.api.common.io.EnumerateNestedFilesTest#testTwoNestedDirectoriesWithFilteredFilesTrue@;@13@;@13@;@96167@;@95306@;@1@;@634@;@634@;@1@;@30m 3s
org.apache.flink.api.common.io.GenericCsvInputFormatTest#testReadNoPosAll@;@18@;@18@;@235958@;@232834@;@1@;@728@;@728@;@6@;@30m 21s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest#testJavaSet@;@1@;@1@;@336707@;@336707@;@0@;@94@;@94@;@1@;@29m 56s
org.apache.flink.core.security.FlinkSecurityManagerTest#testHaltConfiguration@;@2@;@2@;@336649@;@336649@;@0@;@181@;@183@;@2@;@29m 56s
org.apache.flink.core.security.FlinkSecurityManagerTest#testMultiSecurityManagersWithSetLastAndMonitored@;@2@;@2@;@335642@;@335642@;@0@;@199@;@199@;@2@;@29m 56s
org.apache.flink.api.common.state.MapStateDescriptorTest#testSerializerDuplication@;@1@;@1@;@336475@;@336475@;@0@;@116@;@116@;@1@;@29m 56s
org.apache.flink.api.common.io.FileInputFormatTest#testGetStatisticsMultipleOneFileWithCachedVersion@;@13@;@13@;@77708@;@75458@;@2@;@581@;@581@;@1@;@30m 10s
org.apache.flink.api.common.io.FileInputFormatTest#testSetPathsOnePathNull@;@1@;@1@;@100000@;@0@;@1@;@438@;@438@;@0@;@3m 7s
org.apache.flink.api.java.typeutils.runtime.kryo.KryoWithCustomSerializersTest#testBeanStyleObjects@;@2@;@2@;@335271@;@335270@;@1@;@65@;@112@;@2@;@29m 56s
org.apache.flink.configuration.ConfigurationTest#testMapNonPrefixHasPrecedence@;@3@;@3@;@336556@;@336556@;@0@;@581@;@581@;@3@;@29m 56s
org.apache.flink.api.common.operators.base.PartitionMapOperatorTest#testMapPartitionWithRuntimeContext@;@1@;@1@;@336355@;@336355@;@0@;@138@;@138@;@1@;@29m 56s
