test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.fs.TestFsShell#testExceptionNullMessage@;@17@;@17@;@13071@;@13071@;@0@;@2512@;@2516@;@7@;@29m 53s
org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testInternalGetAllStoragePolicies@;@44@;@44@;@10585@;@0@;@7@;@2244@;@2516@;@21@;@29m 55s
org.apache.hadoop.security.TestShellBasedIdMapping#testUpdateMapIncr@;@2@;@2@;@2824@;@2824@;@0@;@1959@;@1959@;@2@;@29m 55s
org.apache.hadoop.ipc.TestIPCServerResponder#testServerResponder@;@54@;@54@;@335@;@335@;@0@;@3617@;@3625@;@39@;@29m 45s
org.apache.hadoop.io.file.tfile.TestVLong#testVLongShort@;@30@;@30@;@1681@;@1680@;@1@;@1964@;@2462@;@9@;@29m 54s
org.apache.hadoop.http.TestHttpServerLifecycle#testStartedServerIsAlive@;@25@;@25@;@58@;@1@;@8@;@2907@;@5166@;@22@;@1m 56s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testGlobStatusWithMultipleWildCardMatches@;@29@;@29@;@11371@;@0@;@2@;@2110@;@2468@;@9@;@29m 55s
org.apache.hadoop.fs.viewfs.TestFcMainOperationsLocalFs#testOpenFileApplyRead@;@29@;@29@;@12006@;@0@;@2@;@2446@;@2468@;@9@;@29m 55s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractSeek#testReadFullyZeroByteFile@;@32@;@32@;@11780@;@0@;@1@;@1624@;@1637@;@9@;@29m 55s
org.apache.hadoop.fs.shell.TestCopyPreserveFlag#testPutWithoutP@;@31@;@31@;@9951@;@9951@;@0@;@3090@;@3090@;@12@;@29m 55s
org.apache.hadoop.ipc.TestIPC#testProxyUserBinding@;@28@;@28@;@5361@;@4997@;@2@;@3082@;@3128@;@18@;@29m 53s
org.apache.hadoop.fs.shell.TestAclCommands#testLsAclsUnsupported@;@27@;@27@;@12425@;@12425@;@0@;@2508@;@2517@;@12@;@29m 55s
org.apache.hadoop.ipc.TestDecayRpcScheduler#testPeriodic@;@10@;@10@;@7640@;@6158@;@1@;@2516@;@2519@;@10@;@29m 53s
org.apache.hadoop.io.file.tfile.TestTFileJClassComparatorByteArrays#testTwoDataEntries@;@33@;@33@;@7633@;@7155@;@1@;@2915@;@2959@;@8@;@29m 56s
org.apache.hadoop.fs.contract.localfs.TestLocalFSContractCreate#testCreatedFileIsVisibleOnFlush@;@29@;@29@;@11512@;@11509@;@2@;@1625@;@1631@;@8@;@29m 55s
org.apache.hadoop.http.TestSSLHttpServerConfigs#testKeyStoreSetupWithoutPassword@;@47@;@47@;@1067@;@734@;@6@;@5037@;@7756@;@44@;@29m 46s
org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractSeek#testReadFullyZeroBytebufferPastEOF@;@31@;@31@;@11608@;@0@;@0@;@1633@;@1638@;@7@;@29m 55s
org.apache.hadoop.ipc.TestServer#testLogExceptions@;@40@;@42@;@37@;@25@;@4@;@1864@;@3072@;@26@;@30s
org.apache.hadoop.util.TestFindClass#testLoadFindsSelf@;@1@;@1@;@13332@;@13332@;@0@;@1138@;@1138@;@1@;@29m 56s
org.apache.hadoop.fs.permission.TestFsPermission#testUMaskParser@;@1@;@1@;@13069@;@13069@;@0@;@1707@;@1707@;@1@;@29m 56s
org.apache.hadoop.security.TestGroupFallback#testNetgroupShell@;@8@;@8@;@11308@;@11192@;@1@;@2180@;@2201@;@8@;@29m 55s
org.apache.hadoop.security.TestGroupFallback#testGroupWithFallback@;@7@;@7@;@10312@;@8333@;@2@;@2173@;@2193@;@7@;@29m 56s
org.apache.hadoop.io.file.tfile.TestTFileStreams#testTwoEntriesKnownLength@;@33@;@33@;@7221@;@6769@;@2@;@1967@;@3092@;@11@;@29m 55s
org.apache.hadoop.ha.TestFailoverController#testWeDontFailbackIfActiveWasFenced@;@6@;@6@;@8788@;@8788@;@0@;@2307@;@2307@;@6@;@29m 55s
