test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.fs.viewfs.TestViewFsHdfs#testResolvePathThroughMountPoints@;@523@;@536@;@116@;@108@;@5@;@12596@;@15106@;@105@;@2m 12s
org.apache.hadoop.fs.viewfs.TestViewFileSystemAtHdfsRoot#testListOnMountTargetDirsInternal@;@525@;@540@;@2419@;@0@;@1@;@12267@;@14366@;@18@;@29m 31s
org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations#testEmptyCreateFlag@;@548@;@548@;@2456@;@0@;@1@;@11897@;@12453@;@2@;@29m 27s
org.apache.hadoop.hdfs.TestDataTransferProtocol#testDataTransferProtocol@;@526@;@537@;@2647@;@0@;@15@;@2227@;@3694@;@115@;@29m 41s
org.apache.hadoop.fs.contract.hdfs.TestHDFSContractMultipartUploader#testCompleteEmptyUpload@;@522@;@526@;@3368@;@3367@;@1@;@1962@;@7696@;@97@;@29m 28s
org.apache.hadoop.hdfs.tools.offlineImageViewer.TestOfflineImageViewerForXAttr#testWebImageViewerForGetXAttrsWithParameters@;@525@;@525@;@3085@;@3085@;@0@;@5275@;@5686@;@6@;@29m 32s
org.apache.hadoop.fs.TestSymlinkHdfsFileContext#testCreateFileDirExistingLink@;@532@;@532@;@2022@;@2022@;@0@;@12433@;@14414@;@2@;@29m 34s
org.apache.hadoop.fs.TestHDFSFileContextMainOperations#testListCorruptFileBlocks@;@523@;@524@;@2531@;@2531@;@0@;@12449@;@15149@;@5@;@29m 35s
org.apache.hadoop.fs.viewfs.TestViewFileSystemOverloadSchemeWithHdfsScheme#testMountTableNameShouldIgnorePortFromURI@;@522@;@535@;@3231@;@3231@;@0@;@6717@;@9765@;@108@;@29m 34s
org.apache.hadoop.hdfs.qjournal.server.TestJournalNode#testJournal@;@111@;@125@;@16@;@0@;@6@;@4379@;@7137@;@51@;@17s
org.apache.hadoop.hdfs.server.namenode.TestSnapshotPathINodes#testSnapshotPathINodes@;@525@;@525@;@1996@;@1996@;@0@;@12817@;@14836@;@2@;@29m 32s
org.apache.hadoop.hdfs.server.namenode.ha.TestHASafeMode#testBlocksAddedBeforeStandbyRestart@;@629@;@640@;@2951@;@0@;@13@;@2236@;@3735@;@173@;@29m 36s
org.apache.hadoop.hdfs.web.TestWebHdfsUrl#testSimpleProxyAuthParamsInUrl@;@43@;@44@;@3291@;@3152@;@1@;@2321@;@6915@;@30@;@29m 54s
org.apache.hadoop.hdfs.web.TestWebHdfsFileSystemContract#testOpenNonExistFile@;@525@;@532@;@3907@;@3907@;@0@;@1642@;@1782@;@29@;@29m 31s
org.apache.hadoop.hdfs.TestParallelRead#testParallelNoChecksums@;@522@;@526@;@1@;@1@;@0@;@15173@;@15173@;@97@;@16m 4s
org.apache.hadoop.fs.viewfs.TestViewFsAtHdfsRoot#testResolvePathThroughMountPoints@;@523@;@539@;@320@;@291@;@5@;@12521@;@15559@;@108@;@5m 28s
org.apache.hadoop.hdfs.server.datanode.TestBPOfferService#testBPInitErrorHandling@;@77@;@77@;@2405@;@2398@;@1@;@3948@;@4403@;@50@;@29m 49s
org.apache.hadoop.hdfs.TestDecommissionWithStriped#testFileSmallerThanOneStripe@;@529@;@540@;@4071@;@0@;@16@;@2299@;@4208@;@126@;@29m 26s
org.apache.hadoop.hdfs.TestDecommissionWithStriped#testFileChecksumAfterDecommission@;@529@;@539@;@1614@;@0@;@15@;@2172@;@4186@;@125@;@29m 25s
org.apache.hadoop.hdfs.server.namenode.TestFSNamesystem#testUniqueEditDirs@;@30@;@30@;@5562@;@5562@;@0@;@1736@;@1736@;@3@;@29m 55s
org.apache.hadoop.hdfs.TestDecommissionWithStripedBackoffMonitor#testDecommissionWithBusyNode@;@531@;@542@;@1580@;@0@;@16@;@2177@;@4193@;@127@;@29m 22s
org.apache.hadoop.fs.TestFcHdfsCreateMkdir#testMkdirRecursiveWithNonExistingDir@;@523@;@523@;@3371@;@3371@;@0@;@5669@;@7968@;@1@;@29m 33s
org.apache.hadoop.hdfs.server.namenode.TestReencryptionWithKMS#testRestartAfterReencrypt@;@628@;@628@;@6@;@0@;@5@;@1828@;@1964@;@43@;@12s
org.apache.hadoop.fs.TestSymlinkHdfsFileSystem#testCreateLinkViaLink@;@531@;@532@;@2259@;@2259@;@0@;@13828@;@15682@;@5@;@29m 35s
org.apache.hadoop.hdfs.TestSnapshotCommands#testAllowSnapshot@;@525@;@526@;@3728@;@1@;@1@;@6960@;@9195@;@10@;@29m 36s
org.apache.hadoop.fs.TestSymlinkHdfsFileContext#testRenameSymlinkToItself@;@532@;@532@;@2308@;@2308@;@0@;@12516@;@14361@;@2@;@29m 33s
org.apache.hadoop.hdfs.server.datanode.checker.TestStorageLocationChecker#testInvalidConfigurationValues@;@31@;@31@;@5344@;@4425@;@4@;@2550@;@2623@;@10@;@29m 53s
org.apache.hadoop.fs.viewfs.TestViewFsAtHdfsRoot#testInternalCreate2@;@523@;@536@;@2532@;@0@;@2@;@12516@;@14715@;@16@;@29m 31s
org.apache.hadoop.hdfs.TestDecommissionWithStriped#testDecommissionWithBusyNode@;@529@;@540@;@3036@;@0@;@16@;@2022@;@4198@;@126@;@29m 25s
org.apache.hadoop.hdfs.qjournal.server.TestJournalNode#testJournalCommonDirAcrossNameSpace@;@93@;@177@;@222@;@0@;@14@;@5923@;@9192@;@152@;@16m 56s
org.apache.hadoop.hdfs.TestDecommission#testDecommission@;@368@;@381@;@1734@;@0@;@19@;@1992@;@4103@;@151@;@29m 47s
org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations#testGlobStatusWithMultipleMatchesOfSingleChar@;@548@;@548@;@1775@;@1775@;@0@;@12312@;@13604@;@2@;@29m 25s
org.apache.hadoop.hdfs.server.namenode.snapshot.TestSnapshotDeletion#testDeleteSnapshot1@;@535@;@546@;@3113@;@0@;@14@;@2230@;@3698@;@115@;@29m 27s
org.apache.hadoop.hdfs.TestDFSPermission#testImmutableFsPermission@;@20@;@530@;@214@;@1@;@5@;@16601@;@19878@;@495@;@29m 36s
org.apache.hadoop.hdfs.server.blockmanagement.TestDatanodeManager#testNumVersionsCorrectAfterReregister@;@61@;@63@;@5091@;@4474@;@3@;@2059@;@2977@;@35@;@29m 47s
org.apache.hadoop.hdfs.TestLeaseRecovery#testLeaseRecoveryAndAppendWithViewDFS@;@530@;@541@;@3473@;@0@;@14@;@2253@;@3695@;@116@;@29m 41s
org.apache.hadoop.fs.permission.TestStickyBit#testMovingFiles@;@525@;@525@;@2397@;@2397@;@0@;@12961@;@15247@;@4@;@29m 31s
