test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.mapreduce.lib.output.TestFileOutputCommitter#testCommitterV2TaskCleanupEnabled@;@48@;@52@;@1496@;@1492@;@3@;@3030@;@3167@;@31@;@29m 52s
org.apache.hadoop.mapred.TestFileOutputCommitter#testRecoveryV1@;@46@;@48@;@1788@;@1786@;@2@;@2893@;@3167@;@27@;@29m 48s
org.apache.hadoop.mapreduce.task.reduce.TestMerger#testUncompressed@;@41@;@41@;@2207@;@2207@;@0@;@2708@;@2738@;@16@;@29m 52s
org.apache.hadoop.mapreduce.TestJobResourceUploaderWithSharedCache#testSharedCacheEnabled@;@525@;@562@;@991@;@0@;@6@;@12628@;@15896@;@48@;@29m 19s
org.apache.hadoop.mapreduce.task.reduce.TestMergeManager#testLargeMemoryLimits@;@43@;@43@;@1606@;@1605@;@1@;@2557@;@2734@;@22@;@29m 50s
org.apache.hadoop.mapreduce.task.reduce.TestMergeManager#testOnDiskMerger@;@38@;@38@;@2@;@2@;@0@;@1998@;@1999@;@13@;@5s
org.apache.hadoop.mapred.lib.TestCombineFileRecordReader#testInitNextRecordReader@;@39@;@39@;@2341@;@2168@;@5@;@2690@;@2719@;@18@;@29m 52s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testOverResourceLimit@;@40@;@40@;@1839@;@1839@;@0@;@2411@;@2411@;@15@;@29m 50s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testOverSingleResourceMBLimit@;@40@;@40@;@1652@;@1652@;@0@;@2379@;@2379@;@15@;@29m 50s
org.apache.hadoop.mapreduce.TestJobResourceUploader#testOriginalPathEndsInSlash@;@5@;@5@;@2938@;@2938@;@0@;@2447@;@2447@;@4@;@29m 48s
org.apache.hadoop.mapreduce.TestJobMonitorAndPrint#testJobMonitorAndPrint@;@27@;@27@;@2030@;@2030@;@0@;@2824@;@2831@;@9@;@29m 51s
org.apache.hadoop.mapreduce.task.reduce.TestFetcher#testCopyFromHostIncompatibleShuffleVersionWithRetry@;@11@;@11@;@2993@;@2993@;@0@;@2788@;@2792@;@11@;@29m 53s
org.apache.hadoop.mapreduce.TestShufflePlugin#testConsumerApi@;@7@;@7@;@4729@;@4729@;@0@;@2070@;@2070@;@6@;@29m 51s
org.apache.hadoop.mapred.TestIndexCache#testRemoveMap@;@34@;@34@;@1222@;@1220@;@1@;@2138@;@2444@;@13@;@29m 53s
org.apache.hadoop.mapred.TestLineRecordReader#testRecordSpanningMultipleSplitsCompressed@;@32@;@32@;@420@;@337@;@2@;@2938@;@2987@;@11@;@29m 52s
org.apache.hadoop.mapred.TestCounters#testMakeCompactString@;@8@;@8@;@5079@;@5079@;@0@;@1780@;@1780@;@0@;@29m 56s
org.apache.hadoop.mapreduce.lib.input.TestLineRecordReader#testBzip2SplitEndsAtCRThenLF@;@37@;@37@;@261@;@261@;@0@;@2735@;@2762@;@12@;@29m 50s
org.apache.hadoop.mapreduce.task.reduce.TestShuffleScheduler#TestAggregatedTransferRate@;@11@;@11@;@4159@;@4159@;@0@;@2472@;@2472@;@10@;@29m 51s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testFileOutputFormatBinding@;@25@;@25@;@4130@;@4130@;@0@;@1936@;@1936@;@7@;@29m 55s
org.apache.hadoop.mapreduce.lib.output.TestPathOutputCommitterFactory#testCommitterFallbackDefault@;@131@;@134@;@2742@;@0@;@2@;@1937@;@2156@;@49@;@29m 53s
