test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.yarn.api.TestPBImplRecords#testContainerLaunchContextPBImpl@;@11@;@11@;@5628@;@5628@;@0@;@2775@;@2775@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testRenewDelegationTokenRequestPBImpl@;@11@;@11@;@5312@;@5312@;@0@;@1988@;@1988@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetNodeToLabelsResponsePBImpl@;@11@;@11@;@5932@;@5932@;@0@;@1951@;@1951@;@0@;@29m 54s
org.apache.hadoop.yarn.logaggregation.filecontroller.TestLogAggregationFileController#testRemoteDirCreationWithCustomGroup@;@23@;@23@;@13297@;@13297@;@0@;@2485@;@2487@;@6@;@29m 53s
org.apache.hadoop.yarn.util.TestProcfsBasedProcessTree#testCpuAndMemoryForProcessTree@;@23@;@23@;@10954@;@10952@;@1@;@2217@;@2275@;@4@;@29m 55s
org.apache.hadoop.yarn.nodelabels.TestCommonNodeLabelsManager#testLabelsToNodesForSelectedLabels@;@13@;@13@;@5744@;@5744@;@0@;@2420@;@2427@;@2@;@29m 55s
org.apache.hadoop.yarn.nodelabels.TestCommonNodeLabelsManager#testReplaceLabelsOnNodeInDistributedMode@;@13@;@13@;@5918@;@5918@;@0@;@2169@;@2169@;@2@;@29m 55s
org.apache.hadoop.yarn.conf.TestHAUtil#testVerifyAndSetConfiguration@;@33@;@37@;@6008@;@0@;@3@;@1821@;@1832@;@31@;@29m 55s
org.apache.hadoop.yarn.webapp.TestWebApp#testServePaths@;@35@;@47@;@17@;@8@;@4@;@6739@;@7645@;@37@;@29m 48s
org.apache.hadoop.yarn.util.TestConverterUtils#testNodeIdWithDefaultPort@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.hadoop.yarn.api.records.impl.pb.TestApplicationClientProtocolRecords#testCLCPBImplNullEnv@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.hadoop.yarn.util.resource.TestResourceUtils#testResourceUnitParsing@;@11@;@38@;@4987@;@2203@;@2@;@2122@;@3086@;@33@;@29m 55s
org.apache.hadoop.yarn.util.resource.TestResourceUtils#testInitializeResourcesMapErrors@;@16@;@16@;@5576@;@5576@;@0@;@1768@;@1769@;@16@;@29m 56s
org.apache.hadoop.yarn.util.resource.TestResourceUtils#testInitializeResourcesMap@;@21@;@48@;@5102@;@3110@;@2@;@1960@;@2926@;@45@;@29m 56s
org.apache.hadoop.yarn.api.TestPBImplRecords#testExecutionTypeRequestPBImpl@;@11@;@11@;@5840@;@5840@;@0@;@1777@;@1777@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testAddToClusterNodeLabelsResponsePBImpl@;@11@;@11@;@6044@;@6044@;@0@;@1719@;@1719@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testReservationListRequestPBImpl@;@11@;@11@;@5667@;@5667@;@0@;@1807@;@1807@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testQueueUserACLInfoPBImpl@;@11@;@11@;@5918@;@5918@;@0@;@1864@;@1864@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testAllocateRequestPBImpl@;@11@;@11@;@5405@;@5405@;@0@;@3822@;@3822@;@0@;@29m 53s
org.apache.hadoop.yarn.util.TestFSDownload#testDownloadBadPublic@;@1@;@31@;@11031@;@10963@;@1@;@2647@;@2655@;@10@;@29m 54s
org.apache.hadoop.yarn.api.TestResourcePBImpl#testResourceTags@;@35@;@62@;@5272@;@0@;@3@;@2020@;@2967@;@58@;@29m 55s
org.apache.hadoop.yarn.api.TestApplicationId#testApplicationId@;@1@;@1@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.hadoop.yarn.util.resource.TestResources#testCreateSimpleResourceWithSameLongValue@;@15@;@15@;@5852@;@5852@;@0@;@1726@;@1726@;@0@;@29m 56s
org.apache.hadoop.yarn.api.TestPBImplRecords#testApplicationSubmissionContextPBImpl@;@11@;@11@;@5543@;@5543@;@0@;@4139@;@4139@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetContainersRequestPBImpl@;@11@;@11@;@5108@;@5108@;@0@;@1859@;@1859@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testNodesToAttributesMappingRequestPBImpl@;@11@;@11@;@4961@;@4961@;@0@;@1986@;@1986@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testRefreshAdminAclsRequestPBImpl@;@11@;@11@;@6057@;@6057@;@0@;@1718@;@1718@;@0@;@29m 53s
org.apache.hadoop.yarn.api.TestPBImplRecords#testRegisterApplicationMasterRequestPBImpl@;@11@;@11@;@5829@;@5829@;@0@;@2338@;@2338@;@0@;@29m 53s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClientForATS1_5#testPutDomain@;@48@;@60@;@4077@;@2570@;@9@;@2199@;@6367@;@40@;@29m 51s
org.apache.hadoop.yarn.webapp.TestWebApp#testDefaultRoutes@;@35@;@47@;@38@;@0@;@8@;@2411@;@10287@;@37@;@9m 55s
org.apache.hadoop.yarn.event.TestAsyncDispatcher#testDispatchStopOnTimeout@;@2@;@2@;@737@;@737@;@0@;@2287@;@2288@;@2@;@29m 49s
org.apache.hadoop.yarn.util.resource.TestResources#testComponentwiseMin@;@15@;@15@;@3569@;@3569@;@0@;@1836@;@1836@;@0@;@29m 54s
org.apache.hadoop.yarn.api.TestPBImplRecords#testNodeAttributePBImpl@;@11@;@11@;@4082@;@4082@;@0@;@1832@;@1832@;@0@;@29m 50s
org.apache.hadoop.yarn.api.TestPBImplRecords#testAllocateResponsePBImpl@;@11@;@11@;@4020@;@4020@;@0@;@5919@;@5919@;@0@;@29m 52s
org.apache.hadoop.yarn.api.TestPBImplRecords#testReservationUpdateResponsePBImpl@;@11@;@11@;@4563@;@4563@;@0@;@1719@;@1719@;@0@;@29m 52s
org.apache.hadoop.yarn.api.TestPBImplRecords#testGetApplicationAttemptsResponsePBImpl@;@11@;@11@;@4764@;@4764@;@0@;@2216@;@2216@;@0@;@29m 52s
org.apache.hadoop.yarn.api.TestPBImplRecords#testResourceLocalizationResponse@;@11@;@11@;@4103@;@4103@;@0@;@1716@;@1716@;@0@;@29m 52s
org.apache.hadoop.yarn.api.TestPBImplRecords#testRefreshSuperUserGroupsConfigurationRequestPBImpl@;@11@;@11@;@4337@;@4337@;@0@;@1720@;@1720@;@0@;@29m 49s
org.apache.hadoop.yarn.util.TestProcfsBasedProcessTree#testProcessTree@;@22@;@22@;@226@;@226@;@0@;@2191@;@2192@;@3@;@29m 39s
org.apache.hadoop.yarn.client.api.impl.TestTimelineClientV2Impl#testAfterStop@;@27@;@38@;@2562@;@1823@;@4@;@2860@;@3414@;@19@;@29m 53s
org.apache.hadoop.yarn.api.TestResourcePBImpl#testGetMemory@;@35@;@62@;@5369@;@0@;@4@;@2022@;@2986@;@59@;@29m 56s
