exceptions@;@times
java.lang.NullPointerException@;@4
java.lang.AssertionError@;@18
java.lang.IllegalArgumentException@;@19
java.lang.OutOfMemoryError@;@15
java.lang.ClassNotFoundException@;@2
java.lang.InterruptedException@;@13
java.lang.InstantiationException@;@2
org.junit.internal.runners.model.MultipleFailureException@;@5
java.lang.RuntimeException@;@7
java.lang.NegativeArraySizeException@;@3
java.lang.IllegalStateException@;@2
java.lang.ArithmeticException@;@2
java.nio.channels.ClosedByInterruptException@;@3
java.io.IOException@;@2
java.lang.IncompatibleClassChangeError@;@1
java.lang.ClassCastException@;@1
java.io.FileNotFoundException@;@2
