test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hbase.security.token.TestZKSecretWatcherRefreshKeys#testRefreshKeys@;@20@;@554@;@300@;@300@;@0@;@1900@;@2234@;@548@;@13m 0s
org.apache.hadoop.hbase.security.token.TestFsDelegationToken#acquireDelegationTokenByTokenKind_swebhdfsFileSystem@;@7@;@7@;@16734@;@16734@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.security.token.TestFsDelegationToken#acquireDelegationToken_swebhdfsFileSystem@;@7@;@7@;@16608@;@16608@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.security.token.TestFsDelegationToken#acquireDelegationTokenByTokenKind_webhdfsFileSystem@;@7@;@7@;@16547@;@16547@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.security.token.TestFsDelegationToken#acquireDelegationToken_defaults_to_hdfsFileSystem@;@7@;@7@;@17065@;@17065@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.security.token.TestFsDelegationToken#acquireDelegationToken_webhdfsFileSystem@;@7@;@7@;@17137@;@17137@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.security.token.TestFsDelegationToken#acquireDelegationTokenByTokenKind_rejects_null_token_kind@;@7@;@7@;@16601@;@0@;@1@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.security.token.TestZKSecretWatcher#testKeyUpdate@;@553@;@554@;@40258@;@0@;@1@;@1215@;@1287@;@0@;@13m 0s
org.apache.hadoop.hbase.filter.TestMultipleColumnPrefixFilter#testMultipleColumnPrefixFilterWithColumnPrefixFilter@;@13@;@13@;@47765@;@0@;@1@;@46@;@57@;@0@;@13m 0s
org.apache.hadoop.hbase.filter.TestMultipleColumnPrefixFilter#testMultipleColumnPrefixFilterWithManyFamilies@;@13@;@13@;@47580@;@0@;@1@;@12@;@170@;@0@;@13m 0s
org.apache.hadoop.hbase.TestSerialization#testCompareFilter@;@35@;@35@;@11204@;@11204@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.TestSerialization#testRegionInfos@;@2@;@2@;@48034@;@48034@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.TestSerialization#testRegionInfo@;@2@;@2@;@48884@;@48884@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.TestSerialization#testTableDescriptor@;@2@;@2@;@50445@;@50445@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.TestSerialization#testScan@;@35@;@35@;@10019@;@10019@;@0@;@0@;@0@;@0@;@13m 0s
org.apache.hadoop.hbase.TestNodeHealthCheckChore#testRSHealthChore@;@13@;@48@;@9264@;@9264@;@0@;@2@;@2@;@9@;@13m 0s
org.apache.hadoop.hbase.TestNodeHealthCheckChore#testHealthCheckerTimeout@;@13@;@48@;@76@;@76@;@0@;@2@;@2@;@9@;@12m 59s
