test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.hadoop.hive.ql.parse.repl.metric.TestReplicationMetricUpdateOnFailure#testReplLoadFailure@;@12@;@21@;@999@;@0@;@1@;@2064@;@2064@;@15@;@29m 51s
org.apache.hadoop.hive.ql.TestTxnCommands3#testCompactionAbort@;@12@;@298@;@464@;@0@;@8@;@12404@;@34493@;@216@;@29m 24s
org.apache.hadoop.hive.ql.session.TestAddResource#testDeleteJarMultiple@;@12@;@40@;@772@;@0@;@4@;@2253@;@2557@;@26@;@29m 43s
org.apache.hadoop.hive.ql.parse.TestUpdateDeleteSemanticAnalyzer#testUpdateOnePartition@;@12@;@225@;@27@;@0@;@6@;@4637@;@30077@;@212@;@1m 19s
org.apache.hadoop.hive.ql.exec.TestMsckDropPartitionsInBatches#testOneMaxRetries@;@42@;@42@;@1439@;@0@;@1@;@6752@;@7576@;@1@;@29m 36s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPMod#testDecimalModDecimal@;@12@;@16@;@1111@;@1111@;@0@;@2083@;@2083@;@16@;@29m 48s
org.apache.hadoop.hive.ql.exec.vector.ptf.TestVectorPTFGroupBatches#testRandomBlockJump@;@12@;@16@;@1222@;@1222@;@0@;@2529@;@2535@;@16@;@29m 51s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testAvgLongSimple@;@12@;@13@;@1339@;@1339@;@0@;@2708@;@2799@;@13@;@29m 51s
org.apache.hadoop.hive.ql.optimizer.calcite.translator.TestRexNodeConverter#testRewriteCaseChildrenNullChild@;@17@;@17@;@2456@;@0@;@1@;@1968@;@1973@;@0@;@29m 47s
org.apache.hadoop.hive.ql.metadata.TestMSCKRepairOnAcid#testAddPartitionDeltas@;@12@;@289@;@194@;@0@;@4@;@12392@;@25604@;@189@;@10m 31s
org.apache.hadoop.hive.ql.TestTxnCommands#testIsRawFormatFile@;@12@;@297@;@81@;@0@;@6@;@12580@;@24200@;@202@;@5m 15s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPPlus#testReturnTypeBackwardCompat@;@12@;@16@;@880@;@880@;@0@;@2173@;@2173@;@16@;@29m 44s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPPlus#testVarcharPlusInt@;@12@;@16@;@981@;@981@;@0@;@2153@;@2153@;@16@;@29m 45s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPPlus#testTimestampPlusIntervalDayTime@;@12@;@16@;@1000@;@1000@;@0@;@2452@;@2452@;@16@;@29m 49s
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager2#testDynamicPartitionInsert@;@21@;@289@;@536@;@0@;@1@;@22033@;@38966@;@257@;@29m 14s
org.apache.hadoop.hive.ql.txn.compactor.TestWorker#majorPartitionWithBase@;@12@;@59@;@5@;@0@;@2@;@25426@;@27556@;@45@;@3m 7s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testMinLongRepeatConcatValues@;@12@;@13@;@843@;@843@;@0@;@2622@;@2713@;@13@;@29m 49s
org.apache.hadoop.hive.ql.parse.TestReplicationSemanticAnalyzer$ReplLoad#parseTargetDbName@;@12@;@37@;@1198@;@1198@;@0@;@2760@;@2838@;@14@;@29m 44s
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager#testDDLNoLock@;@12@;@238@;@155@;@0@;@4@;@2224@;@14146@;@62@;@7m 42s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorIfStatement#testDecimalSmall@;@12@;@18@;@23@;@15@;@1@;@2753@;@4437@;@18@;@28m 28s
org.apache.hadoop.hive.ql.txn.compactor.TestCleaner2#NoCleanupAfterMajorCompaction@;@12@;@59@;@3@;@0@;@2@;@12680@;@25348@;@45@;@48s
org.apache.hadoop.hive.ql.txn.compactor.TestWorker#minorTableWithBase@;@12@;@59@;@5@;@0@;@2@;@12776@;@27453@;@45@;@2m 26s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testStdLongSimple@;@12@;@13@;@1299@;@1299@;@0@;@2716@;@2760@;@13@;@29m 52s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorBetweenIn#testBigInt@;@12@;@18@;@8@;@4@;@2@;@2496@;@3573@;@18@;@24m 40s
org.apache.hadoop.hive.ql.TestTxnCommandsWithSplitUpdateAndVectorization#testDropWithBaseOnePartition@;@12@;@294@;@235@;@0@;@5@;@12628@;@28147@;@219@;@18m 33s
org.apache.hadoop.hive.ql.TestTxnCommands2WithSplitUpdateAndVectorization#testNonAcidInsert@;@12@;@288@;@21@;@0@;@2@;@12417@;@13801@;@49@;@56s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorStringExpressions#testColLower@;@12@;@12@;@1253@;@1253@;@0@;@1982@;@1982@;@12@;@29m 52s
org.apache.hadoop.hive.ql.TestTxnCommands3#testRenameTable@;@12@;@289@;@16@;@0@;@3@;@12411@;@13597@;@50@;@40s
org.apache.hadoop.hive.ql.hooks.TestHiveProtoLoggingHook#testRolloverFiles@;@12@;@35@;@48@;@46@;@1@;@2510@;@2514@;@24@;@29m 1s
org.apache.hadoop.hive.ql.parse.TestUpdateDeleteSemanticAnalyzer#testInsertSelect@;@12@;@223@;@106@;@0@;@7@;@4680@;@33581@;@210@;@13m 47s
org.apache.hadoop.hive.ql.security.authorization.plugin.metastore.TestHiveMetaStoreAuthorizer#testL_DropDatabase_authorizedUser@;@12@;@12@;@1322@;@1322@;@0@;@7903@;@8687@;@0@;@29m 39s
org.apache.hadoop.hive.ql.lockmgr.ITestDbTxnManager#testDummyTxnManagerOnAcidTable@;@22@;@291@;@731@;@0@;@1@;@22317@;@42189@;@260@;@29m 13s
org.apache.hadoop.hive.ql.lockmgr.ITestDbTxnManager#testAddDropConstraintNonBlocking@;@22@;@291@;@724@;@0@;@1@;@22333@;@41493@;@260@;@29m 17s
org.apache.hadoop.hive.metastore.txn.TestCompactionTxnHandler#testPurgeCompactionHistory@;@12@;@62@;@556@;@375@;@2@;@12518@;@41609@;@54@;@29m 45s
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager2#testWriteSetTracking1@;@21@;@289@;@656@;@0@;@1@;@22058@;@40683@;@257@;@29m 19s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testMultiKeyIntStringInt@;@12@;@17@;@1264@;@1200@;@1@;@3069@;@3233@;@17@;@29m 50s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorTypeCasts#testCastDecimalToTimestamp@;@12@;@12@;@1398@;@1398@;@0@;@2281@;@2281@;@12@;@29m 52s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorNull#testIsNotNull@;@12@;@18@;@28@;@10@;@2@;@2351@;@4168@;@18@;@29m 3s
org.apache.hadoop.hive.ql.parse.repl.metric.TestReplicationMetricUpdateOnFailure#testReplDumpRecoverableMissingStage@;@12@;@21@;@915@;@0@;@1@;@2065@;@2065@;@15@;@29m 50s
org.apache.hadoop.hive.ql.TestTxnCommands2#testNoDeltaAfterDeleteAndMinorCompaction@;@12@;@289@;@194@;@0@;@4@;@12788@;@23359@;@191@;@29m 21s
org.apache.hadoop.hive.ql.plan.TestConditionalResolverCommonJoin#testResolvingDriverAlias@;@12@;@13@;@1137@;@1137@;@0@;@1964@;@1964@;@13@;@29m 49s
org.apache.hadoop.hive.ql.TestTxnCommands#testMergeUpdateDeleteNoCardCheck@;@12@;@295@;@387@;@0@;@6@;@12383@;@27992@;@197@;@27m 34s
org.apache.hadoop.hive.metastore.txn.TestTxnHandler#testLockSRSR@;@12@;@46@;@660@;@528@;@1@;@15313@;@26626@;@38@;@29m 41s
org.apache.hadoop.hive.ql.txn.compactor.TestCleanerWithoutMinHistoryLevel#testRetentionAfterFailedCleanup@;@12@;@59@;@7@;@0@;@2@;@25536@;@27647@;@45@;@3m 0s
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager2#testCreateTable@;@21@;@285@;@670@;@670@;@0@;@21073@;@40387@;@253@;@29m 17s
org.apache.hadoop.hive.ql.lockmgr.TestDbTxnManager2#testDbConnectorNoLocks@;@21@;@252@;@691@;@691@;@0@;@24781@;@41919@;@220@;@29m 18s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testMemoryPressureFlushLlap@;@12@;@16@;@1391@;@1391@;@0@;@2809@;@2977@;@16@;@29m 49s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFDeserialize#testGZIPBase64Compression@;@12@;@14@;@1103@;@1103@;@0@;@1998@;@1998@;@14@;@29m 51s
org.apache.hadoop.hive.ql.TestTxnCommands2#testBucketCodec@;@12@;@297@;@432@;@0@;@7@;@13054@;@27926@;@201@;@15m 54s
org.apache.hadoop.hive.ql.TestTxnCommands2#testShowCompactionOrder@;@12@;@293@;@263@;@0@;@5@;@12607@;@26830@;@195@;@29m 23s
org.apache.hadoop.hive.ql.TestTxnCommands#testParallelInsertStats@;@12@;@289@;@6@;@0@;@2@;@12412@;@13119@;@51@;@18s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPDivide#testReturnTypeAnsiSql@;@12@;@16@;@1296@;@1296@;@0@;@2119@;@2119@;@16@;@29m 48s
org.apache.hadoop.hive.metastore.txn.TestTxnHandler#testAbortTxns@;@12@;@59@;@183@;@53@;@7@;@12453@;@26505@;@51@;@8m 40s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testCountLongNullKeyGroupBySingleBatch@;@12@;@17@;@1221@;@1221@;@0@;@2863@;@2931@;@17@;@29m 51s
org.apache.hadoop.hive.ql.exec.vector.TestVectorGroupByOperator#testStdDevLongRepeatNulls@;@12@;@13@;@1110@;@1110@;@0@;@2687@;@2731@;@13@;@29m 51s
org.apache.hadoop.hive.ql.metadata.TestHiveMetaStoreChecker#testPartitionsCheck@;@12@;@191@;@1331@;@0@;@1@;@15244@;@16701@;@42@;@29m 31s
org.apache.hadoop.hive.ql.exec.vector.expressions.TestVectorStringExpressions#testRightTrimBytesColumnVector@;@12@;@12@;@1304@;@1304@;@0@;@2094@;@2094@;@12@;@29m 52s
org.apache.hadoop.hive.ql.udf.generic.TestGenericUDFOPMinus#testDecimalMinusDecimalSameParams@;@12@;@16@;@1130@;@1130@;@0@;@2093@;@2093@;@16@;@29m 47s
org.apache.hadoop.hive.ql.TestTxnNoBucketsVectorized#testInsertFromUnion@;@12@;@297@;@82@;@0@;@6@;@12619@;@32500@;@201@;@13m 23s
org.apache.hadoop.hive.ql.TestTxnCommands#testQuotedIdentifier2@;@12@;@291@;@47@;@0@;@4@;@12633@;@20283@;@193@;@7m 28s
