test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.kylin.cube.CubeManagerConcurrencyTest#test@;@151@;@151@;@27@;@23@;@1@;@4004@;@4797@;@150@;@28m 1s
org.apache.kylin.gridtable.SimpleGridTableTest#testAppend@;@3@;@137@;@315178@;@315178@;@0@;@990@;@990@;@0@;@29m 56s
org.apache.kylin.cube.cuboid.CuboidTest#testIsValid@;@149@;@149@;@1539@;@1463@;@3@;@2266@;@3647@;@148@;@29m 52s
org.apache.kylin.cube.CubeDescTest#testCiCube@;@149@;@149@;@1890@;@1844@;@2@;@2276@;@3706@;@148@;@29m 51s
org.apache.kylin.cube.CubeManagerTest#testGetAllCubes@;@137@;@137@;@17396@;@17396@;@0@;@1856@;@1891@;@137@;@29m 54s
org.apache.kylin.cube.AggregationGroupRuleTest#testGoodBecomeBadDesc@;@149@;@149@;@25@;@24@;@1@;@3408@;@3529@;@148@;@17s
org.apache.kylin.gridtable.AggregationCacheSpillTest#testAggregationCacheInMem@;@137@;@137@;@171@;@0@;@1@;@1024@;@1024@;@0@;@29m 46s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testTooManyCombination@;@149@;@149@;@425@;@0@;@1@;@3556@;@3640@;@148@;@29m 41s
org.apache.kylin.cube.common.SegmentPrunerTest#testEmptySegment@;@150@;@150@;@198@;@187@;@2@;@2427@;@3921@;@149@;@29m 46s
org.apache.kylin.cube.common.SegmentPrunerTest#testLegacyCubeSegWithOrFilter@;@150@;@150@;@104@;@102@;@1@;@3958@;@4136@;@149@;@29m 35s
org.apache.kylin.cube.CubeDescTest#testTooManyRowkeys@;@149@;@149@;@2213@;@2091@;@1@;@2273@;@3739@;@148@;@29m 50s
org.apache.kylin.cube.CubeDescTest#testGetCubeDesc@;@149@;@149@;@3170@;@3170@;@0@;@2205@;@3615@;@148@;@29m 54s
org.apache.kylin.metadata.measure.TopNMeasureTypeTest#test@;@149@;@149@;@262@;@253@;@1@;@3602@;@3654@;@148@;@29m 45s
org.apache.kylin.cube.CubeManagerCacheTest#testCachedAndSharedFlag@;@149@;@149@;@263@;@263@;@0@;@4001@;@4093@;@148@;@29m 49s
org.apache.kylin.cube.CubeManagerTest#testAutoMergeWithVolatileRange@;@154@;@154@;@2041@;@1874@;@5@;@4379@;@5362@;@153@;@29m 55s
org.apache.kylin.gridtable.AggregationCacheSpillTest#testAggregationCacheSpill@;@137@;@137@;@56@;@0@;@1@;@1155@;@1155@;@0@;@29m 30s
org.apache.kylin.cube.common.SegmentPrunerTest#testDynamicFilter@;@149@;@149@;@249@;@245@;@1@;@3835@;@3918@;@148@;@29m 41s
org.apache.kylin.cube.cuboid.CuboidTest#testIsValid2@;@149@;@149@;@239@;@228@;@2@;@3343@;@3648@;@148@;@29m 56s
org.apache.kylin.cube.cuboid.CuboidTest#testIsValid3@;@149@;@149@;@245@;@237@;@2@;@3556@;@3610@;@148@;@29m 49s
org.apache.kylin.cube.CubeDescTest#testGetCopyOf@;@149@;@149@;@240@;@240@;@0@;@4080@;@4125@;@148@;@29m 56s
org.apache.kylin.cube.inmemcubing.MemDiskStoreTest#testSingleThreadWriteRead@;@3@;@137@;@134@;@134@;@0@;@1140@;@1141@;@0@;@29m 50s
org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned@;@151@;@151@;@1670@;@1634@;@1@;@4312@;@4569@;@150@;@29m 56s
org.apache.kylin.cube.CubeManagerTest#testConcurrentMergeAndMerge@;@153@;@153@;@237@;@235@;@1@;@4770@;@4864@;@152@;@29m 45s
org.apache.kylin.cube.CubeManagerTest#testAutoMergeNormal@;@153@;@153@;@235@;@220@;@2@;@4374@;@4837@;@152@;@29m 49s
org.apache.kylin.cube.CubeSpecificConfigTest#testPropertiesHotLoad@;@149@;@149@;@435@;@0@;@1@;@3413@;@3679@;@148@;@29m 56s
org.apache.kylin.cube.cuboid.CuboidTest#testFindCuboidByIdWithSingleAggrGroup1@;@149@;@149@;@258@;@239@;@2@;@3343@;@3759@;@148@;@29m 49s
org.apache.kylin.cube.CubeDescTest#testBadInit4@;@149@;@149@;@264@;@259@;@1@;@3332@;@3744@;@148@;@29m 51s
org.apache.kylin.cube.CubeDescTest#testBadInit6@;@149@;@149@;@2693@;@2553@;@2@;@3418@;@3676@;@148@;@30m 1s
org.apache.kylin.cube.CubeDescTest#testBadInit2@;@149@;@149@;@2244@;@2187@;@1@;@3422@;@3726@;@148@;@29m 48s
org.apache.kylin.cube.CubeDescTest#testBadInit1@;@149@;@149@;@1865@;@1808@;@1@;@2323@;@3758@;@148@;@29m 51s
org.apache.kylin.cube.CubeDescTest#testBadInit7@;@149@;@149@;@3095@;@3026@;@1@;@3316@;@3730@;@148@;@29m 53s
org.apache.kylin.cube.CubeDescTest#testBadInit3@;@149@;@149@;@262@;@259@;@1@;@3573@;@3802@;@148@;@29m 55s
org.apache.kylin.cube.project.ProjectManagerTest#testDropNonemptyProject@;@139@;@139@;@19602@;@0@;@1@;@1813@;@1849@;@139@;@29m 55s
org.apache.kylin.cube.project.ProjectManagerTest#testProjectsDrop@;@150@;@150@;@264@;@254@;@2@;@4432@;@4483@;@149@;@29m 57s
org.apache.kylin.cube.CubeManagerTest#testConcurrentBuildAndMerge@;@153@;@153@;@2386@;@2324@;@2@;@4560@;@4817@;@152@;@29m 56s
org.apache.kylin.cube.CubeDescTest#testBadInit5@;@149@;@149@;@2616@;@2486@;@2@;@3382@;@3642@;@148@;@29m 52s
org.apache.kylin.cube.CubeDescTest#testBadInit14@;@149@;@149@;@256@;@256@;@0@;@3641@;@3686@;@148@;@29m 53s
org.apache.kylin.cube.CubeDescTest#testBadInit8@;@149@;@149@;@255@;@247@;@1@;@3661@;@3766@;@148@;@29m 50s
org.apache.kylin.cube.CubeDescTest#testBadInit9@;@149@;@149@;@256@;@253@;@1@;@3645@;@3740@;@148@;@29m 48s
org.apache.kylin.cube.CubeDescTest#testBadInit12@;@149@;@149@;@252@;@247@;@1@;@2310@;@3768@;@148@;@29m 54s
org.apache.kylin.cube.CubeDescTest#testBadInit15@;@149@;@149@;@1159@;@1159@;@0@;@3433@;@3683@;@148@;@29m 48s
org.apache.kylin.cube.CubeDescTest#testBadInit11@;@149@;@149@;@2872@;@2788@;@1@;@3312@;@3738@;@148@;@29m 47s
org.apache.kylin.cube.inmemcubing.MemDiskStoreTest#testMultiThreadWriteRead@;@3@;@137@;@51@;@51@;@0@;@1182@;@1186@;@0@;@29m 25s
org.apache.kylin.metadata.measure.MeasureCodecTest#basicTest@;@3@;@137@;@336131@;@336131@;@0@;@963@;@963@;@0@;@29m 56s
org.apache.kylin.cube.project.ProjectManagerTest#testExistingProject@;@149@;@149@;@251@;@241@;@2@;@4339@;@4426@;@148@;@29m 58s
org.apache.kylin.gridtable.SimpleGridTableTest#testBasics@;@3@;@137@;@321786@;@321786@;@0@;@971@;@971@;@0@;@29m 56s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testGetSpanningCuboid1@;@149@;@149@;@215@;@196@;@3@;@3227@;@3658@;@148@;@29m 46s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidCounts6@;@149@;@149@;@271@;@265@;@1@;@3230@;@3661@;@148@;@29m 55s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidCounts1@;@149@;@149@;@255@;@251@;@1@;@3622@;@3665@;@148@;@29m 52s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidCounts5@;@149@;@149@;@256@;@253@;@1@;@3607@;@3651@;@148@;@29m 52s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidCounts4@;@149@;@149@;@260@;@256@;@1@;@3612@;@3664@;@148@;@29m 47s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidCounts3@;@149@;@149@;@267@;@264@;@1@;@3465@;@3643@;@148@;@29m 46s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidCounts2@;@149@;@149@;@265@;@258@;@1@;@3359@;@3658@;@148@;@29m 42s
org.apache.kylin.cube.CubeManagerTest#testCreateAndDrop@;@150@;@150@;@165@;@157@;@3@;@2800@;@4574@;@149@;@29m 46s
org.apache.kylin.cube.CubeManagerTest#testBasics@;@149@;@149@;@258@;@255@;@1@;@3985@;@4165@;@148@;@29m 53s
org.apache.kylin.cube.AggregationGroupRuleTest#testCombinationIntOverflow@;@148@;@148@;@6574@;@6574@;@0@;@2953@;@2999@;@147@;@29m 54s
org.apache.kylin.cube.model.validation.rule.FunctionRuleTest#testGoodDesc@;@148@;@148@;@6182@;@5869@;@2@;@3225@;@3276@;@147@;@29m 52s
org.apache.kylin.gridtable.SimpleGridTableTest#testAdvanced@;@3@;@137@;@319547@;@319547@;@0@;@975@;@975@;@0@;@29m 56s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboid_onlyBaseCuboid@;@149@;@149@;@0@;@0@;@0@;@0@;@0@;@0@;@1s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testLargeCube@;@149@;@149@;@1282@;@1269@;@1@;@3348@;@3630@;@148@;@29m 46s
org.apache.kylin.cube.common.SegmentPrunerTest#testPruneSegWithFilterIN@;@150@;@150@;@2245@;@2191@;@1@;@3784@;@4038@;@149@;@29m 48s
org.apache.kylin.cube.common.SegmentPrunerTest#testDimensionRangeCheck@;@149@;@149@;@263@;@257@;@1@;@3813@;@3992@;@148@;@29m 49s
org.apache.kylin.cube.CubeDescTest#testSerialize@;@149@;@149@;@253@;@253@;@0@;@4038@;@4218@;@148@;@29m 47s
org.apache.kylin.cube.project.ProjectManagerTest#testNewProject@;@150@;@150@;@247@;@240@;@2@;@4596@;@4687@;@149@;@29m 44s
org.apache.kylin.cube.CubeManagerTest#testGetCubeNameWithNamespace@;@151@;@151@;@505@;@0@;@1@;@3575@;@3838@;@150@;@29m 49s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidGeneration7@;@149@;@149@;@264@;@259@;@1@;@3261@;@3655@;@148@;@29m 46s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidGeneration6@;@149@;@149@;@264@;@258@;@1@;@3625@;@3667@;@148@;@29m 44s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidGeneration1@;@149@;@149@;@197@;@190@;@2@;@2194@;@3731@;@148@;@29m 47s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidGeneration4@;@149@;@149@;@266@;@259@;@1@;@3649@;@3690@;@148@;@29m 50s
org.apache.kylin.cube.cuboid.CuboidSchedulerTest#testCuboidGeneration5@;@149@;@149@;@1805@;@1771@;@1@;@3225@;@3713@;@148@;@29m 51s
org.apache.kylin.cube.CubeManagerCacheTest#testReloadCache@;@149@;@149@;@2449@;@2333@;@2@;@2808@;@4387@;@148@;@29m 48s
org.apache.kylin.cube.CubeSegmentsTest#testAppendNonPartitioned2@;@151@;@151@;@1771@;@1719@;@1@;@2395@;@4617@;@150@;@29m 51s
org.apache.kylin.cube.CubeManagerTest#testAutoMergeWithGap@;@153@;@153@;@217@;@192@;@3@;@2838@;@4892@;@152@;@29m 47s
org.apache.kylin.cube.CubeManagerTest#testBuildCubeWithPartitionStartDate@;@151@;@151@;@271@;@256@;@1@;@2741@;@4725@;@150@;@29m 48s
