test_name@;@minConfigSize@;@maxConfigSize@;@num_of_executed_rounds@;@num_of_valid_rounds@;@unique_failures@;@init_branch_coverage@;@total_branch_coverage@;@total_param_coverage@;@fuzzing_time
org.apache.zeppelin.interpreter.InterpreterSettingManagerTest#testRestartPerUserScoped@;@19@;@22@;@1990@;@1990@;@0@;@3680@;@6638@;@22@;@29m 53s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#getAllowedOriginsNoneTest@;@17@;@17@;@79667@;@79667@;@0@;@3844@;@3844@;@17@;@29m 56s
org.apache.zeppelin.interpreter.InterpreterFactoryTest#testUnknownRepl1@;@15@;@20@;@1385@;@1385@;@0@;@6259@;@6269@;@20@;@29m 54s
org.apache.zeppelin.interpreter.InterpreterFactoryTest#testUnknownRepl2@;@15@;@20@;@1488@;@1488@;@0@;@6266@;@6276@;@20@;@29m 52s
org.apache.zeppelin.notebook.repo.NotebookRepoSyncInitializationTest#initEmptyStorageTest@;@7@;@8@;@334724@;@334724@;@0@;@1937@;@1939@;@8@;@29m 55s
org.apache.zeppelin.interpreter.InterpreterSettingTest#testPerUserScopedPerNoteScopedMode@;@10@;@11@;@252826@;@252826@;@0@;@1981@;@1986@;@11@;@29m 55s
org.apache.zeppelin.notebook.ParagraphTest#scriptBodyWithReplName@;@17@;@23@;@1556@;@1556@;@0@;@3312@;@6300@;@23@;@29m 52s
org.apache.zeppelin.notebook.ParagraphTest#testParagraphProperties@;@17@;@23@;@2042@;@2042@;@0@;@5486@;@7025@;@23@;@29m 53s
org.apache.zeppelin.helium.HeliumBundleFactoryTest#downloadPackage@;@8@;@9@;@230@;@0@;@1@;@3281@;@3299@;@9@;@29m 21s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testConvertDynamicForms@;@141@;@141@;@341@;@261@;@2@;@5055@;@8076@;@141@;@29m 46s
org.apache.zeppelin.interpreter.InterpreterSettingManagerTest#testCreateUpdateRemoveSetting@;@21@;@24@;@255@;@255@;@0@;@13537@;@13569@;@24@;@29m 45s
org.apache.zeppelin.helium.HeliumOnlineRegistryTest#zeppelinNotebookS3TimeoutPropertyTest@;@4@;@5@;@890@;@890@;@0@;@2372@;@2373@;@5@;@29m 52s
org.apache.zeppelin.notebook.NotebookTest#testCronNoteInTrash@;@21@;@26@;@969@;@969@;@0@;@8377@;@8419@;@26@;@29m 49s
org.apache.zeppelin.notebook.NotebookTest#testCreateDuplicateNote@;@21@;@22@;@1628@;@1628@;@0@;@4090@;@6959@;@22@;@29m 50s
org.apache.zeppelin.notebook.NotebookTest#testReloadAndSetInterpreter@;@21@;@22@;@1427@;@1427@;@0@;@4661@;@7483@;@22@;@29m 50s
org.apache.zeppelin.notebook.NotebookTest#testPermissions@;@24@;@25@;@1477@;@1477@;@0@;@4220@;@7054@;@25@;@29m 48s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#isNotebookPublicTest@;@16@;@16@;@59832@;@59832@;@0@;@3841@;@3841@;@16@;@29m 51s
org.apache.zeppelin.notebook.repo.NotebookRepoSyncTest#testSyncUpdateMain@;@23@;@27@;@954@;@827@;@1@;@6187@;@7771@;@27@;@29m 48s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testFIFOScheduler@;@141@;@141@;@276@;@220@;@2@;@5028@;@8041@;@141@;@29m 35s
org.apache.zeppelin.notebook.NotebookTest#testAngularObjectRemovalOnParagraphRemove@;@24@;@27@;@1924@;@1924@;@0@;@4420@;@8621@;@27@;@29m 52s
org.apache.zeppelin.notebook.NotebookTest#testCreateNoteWithSubject@;@22@;@26@;@1385@;@1385@;@0@;@4116@;@8366@;@26@;@29m 53s
org.apache.zeppelin.notebook.NotebookTest#testSchedule@;@139@;@139@;@265@;@265@;@0@;@4942@;@9294@;@139@;@29m 45s
org.apache.zeppelin.resource.DistributedResourcePoolTest#testResourcePoolUtils@;@141@;@141@;@175@;@131@;@2@;@5243@;@8218@;@141@;@29m 32s
org.apache.zeppelin.interpreter.InterpreterFactoryTest#testGetFactory@;@18@;@22@;@1928@;@1928@;@0@;@5616@;@8456@;@22@;@29m 53s
org.apache.zeppelin.interpreter.launcher.StandardInterpreterLauncherTest#testLauncher@;@11@;@12@;@17402@;@0@;@2@;@1247@;@1741@;@12@;@29m 55s
org.apache.zeppelin.notebook.ParagraphTest#testInvalidProperties@;@15@;@21@;@2050@;@0@;@1@;@7574@;@7619@;@21@;@29m 53s
org.apache.zeppelin.notebook.ParagraphTest#replSingleCharName@;@17@;@22@;@1350@;@1350@;@0@;@3309@;@7637@;@22@;@29m 54s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testFailToLaunchInterpreterProcess_ErrorInRunner@;@24@;@27@;@2036@;@1880@;@1@;@4379@;@7406@;@27@;@29m 53s
org.apache.zeppelin.interpreter.remote.RemoteInterpreterTest#testEnvironmentAndProperty@;@141@;@141@;@297@;@234@;@2@;@3703@;@8077@;@141@;@29m 40s
org.apache.zeppelin.interpreter.recovery.LocalRecoveryStorageTest#testSingleInterpreterProcess@;@139@;@139@;@317@;@263@;@2@;@5096@;@5168@;@139@;@29m 47s
org.apache.zeppelin.notebook.NotebookTest#testAuthorizationRoles@;@26@;@28@;@1906@;@1906@;@0@;@4105@;@6954@;@28@;@29m 52s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#checkParseException@;@16@;@16@;@66270@;@66270@;@0@;@3863@;@3863@;@16@;@29m 55s
org.apache.zeppelin.conf.ZeppelinConfigurationTest#isWindowsPathTestTrue@;@16@;@16@;@74527@;@74527@;@0@;@3842@;@3842@;@16@;@29m 56s
org.apache.zeppelin.notebook.repo.GitNotebookRepoTest#setRevisionTest@;@6@;@6@;@6187@;@6187@;@0@;@9957@;@9970@;@6@;@29m 52s
org.apache.zeppelin.notebook.repo.GitNotebookRepoTest#initNonemptyNotebookDir@;@4@;@5@;@62467@;@62467@;@0@;@3283@;@3284@;@5@;@29m 54s
org.apache.zeppelin.notebook.ParagraphTest#testCursorPosition@;@15@;@16@;@1741@;@1741@;@0@;@3422@;@6338@;@16@;@29m 53s
