Bug ID	Bug Type	Project	Config	Test	Github Issue	Seriousness	Report Status	Report URL	Note	Report Status
Bug-1	OOM	HDFS	ipc.server.read.threadpool.size=1535931645	org.apache.hadoop.hdfs.server.namenode.metrics.TestNameNodeMetrics#testExcessBlocks	https://github.com/xlab-uiuc/confuzz/issues/144		Opened	https://issues.apache.org/jira/browse/HDFS-17096	Server.java:1240	Reported
Bug-2	OOM	HDFS	file.bytes-per-checksum=1666845779	org.apache.hadoop.hdfs.server.namenode.metrics.TestNameNodeMetrics#testExcessBlocks	https://github.com/xlab-uiuc/confuzz/issues/145		Opened	https://issues.apache.org/jira/browse/HDFS-17095	FSOutputSummer	Reported
Bug-3	OOM	HCommon	decay-scheduler.metrics.top.user.count=1419140791	org.apache.hadoop.ipc.TestDecayRpcScheduler#testNPEatInitialization	https://github.com/xlab-uiuc/confuzz/issues/140		Opened	https://issues.apache.org/jira/browse/HADOOP-18822		Reported
Bug-4	OOM	Hive	hive.hashtable.initialCapacity=1223962862	org.apache.hadoop.hive.ql.exec.vector.mapjoin.TestMapJoinOperator#testMultiKey3	https://github.com/xlab-uiuc/confuzz/issues/129		Opened	https://issues.apache.org/jira/browse/HIVE-27520		Reported
Bug-5	OOM	Hive	hive.join.cache.size=700528591	org.apache.hadoop.hive.ql.exec.vector.mapjoin.TestMapJoinOperator#testString1					RowContainer.java:141	
Bug-6	OOM	HDFS	dfs.namenode.blockreport.queue.size=1807890864	org.apache.hadoop.hdfs.server.namenode.TestNameNodeHttpServerXFrame#testSecondaryNameNodeXFrame	https://github.com/xlab-uiuc/confuzz/issues/142		Opened	https://issues.apache.org/jira/browse/HDFS-17097	BlockManager.java:5243	Reported
Bug-7	OOM	HCommon	io.file.buffer.size=2112001717	org.apache.hadoop.fs.contract.rawlocal.TestRawlocalContractRename#testRenameFileUnderFile	https://github.com/xlab-uiuc/confuzz/issues/139		Opened	https://issues.apache.org/jira/browse/HADOOP-18804	BufferedIOStatisticsOutputStream	Reported
Bug-8	OOM	HCommon	file.stream-buffer-size=2079242445	org.apache.hadoop.fs.viewfs.TestViewFileSystemWithAuthorityLocalFileSystem#testInternalGetAllStoragePolicies					BufferedIOStatisticsOutputStream	
Bug-9	OOM	HCommon	ipc.0.faircallqueue.priority-levels=1251599569	org.apache.hadoop.ipc.TestRPC#testProtocolUserPriority					DecayRpcScheduler.java:377	
Bug-10	OOM	HCommon	hadoop.http.acceptor.count=1294280440	org.apache.hadoop.hdfs.server.namenode.TestNameNodeHttpServerXFrame#testSecondaryNameNodeXFrame					HttpServer2:534	
Bug-11	OOM	HCommon	hadoop.http.selector.count=1211811174	org.apache.hadoop.hdfs.server.namenode.TestNameNodeHttpServerXFrame#testSecondaryNameNodeXFrame					HttpServer2:534	
Bug-12	OOM	HDFS	dfs.namenode.blocks.per.postponedblocks.rescan=1081415152	org.apache.hadoop.fs.TestSWebHdfsFileContextMainOperations#testCreateFlagCreateExistingFile					BlockManager.java:484	
Bug-13	OOM	Yarn	fs.har.metadatacache.entries=2111044450	org.apache.hadoop.yarn.logaggregation.TestAggregatedLogsBlock#testAggregatedLogsBlockHar						
Bug-14	OOM	Yarn	tfile.io.chunk.size=2144912649	org.apache.hadoop.yarn.logaggregation.TestAggregatedLogsBlock#testAggregatedLogsBlock						
Bug-15	OOM	Yarn	yarn.timeline-service.client.internal-attempt-dir-cache-size=1459573338	org.apache.hadoop.yarn.client.api.impl.TestTimelineClientForATS1_5#testPutDomain						
Bug-16	OOM	Yarn	tfile.fs.input.buffer.size=2147483647	org.apache.hadoop.yarn.logaggregation.TestAggregatedLogFormat#testZeroLengthLog	SAME VALUE FOR -16 and -17?? SOUNDS UNLIKELY/SUSPICIOUS					
Bug-17	OOM	Yarn	tfile.fs.output.buffer.size=2147483647	org.apache.hadoop.yarn.logaggregation.TestAggregatedLogsBlock#testNoLogs						
Bug-19	OOM	HBase	hbase.ipc.server.max.callqueue.length=1882271521	org.apache.hadoop.hbase.ipc.TestSimpleRpcScheduler#testPluggableRpcQueueWireUpWithoutFastPathExecutor						
Bug-20	OOM	MapReduce	mapreduce.output.fileoutputformat.compress.codec=org.apache.hadoop.io.compress.SnappyCodec mapreduce.output.fileoutputformat.compress=true io.compression.codec.snappy.buffersize=1056703541	org.apache.hadoop.mapred.TestFileOutputCommitter#testMapFileOutputCommitterV1	https://github.com/xlab-uiuc/confuzz/issues/151					
Bug-21	OOM	HCommon	hadoop.security.crypto.buffer.size=1667467171	org.apache.hadoop.crypto.TestCryptoOutputStreamClosing#testOutputStreamNotClosing						
Bug-22	OOM	HBase	hbase.ipc.server.callqueue.read.ratio=20870 hbase.ipc.server.max.callqueue.length=1882271521	org.apache.hadoop.hbase.ipc.TestSimpleRpcScheduler#testPluggableRpcQueueWireUpWithoutFastPathExecutor						
Bug-23	OOM	HBase	{"hbase.blockcache.minblocksize": "1"}	org.apache.hadoop.hbase.io.hfile.TestHFile#testReaderWithTinyLfuCombinedBlockCache					TinyLfuBlockCache.java:97	
Bug-24	OOM	HBase	hbase.blockcache.minblocksize=0	org.apache.hadoop.hbase.io.hfile.TestBlockCacheReporting#testLruBlockCache					LruBlockCache.java:514	
Bug-25	OOM	HBase	hfile.onheap.block.cache.fixed.size=974, hbase.blockcache.minblocksize=0 hfile.block.cache.policy=TinyLFU	org.apache.hadoop.hbase.io.hfile.TestBlockCacheReporting#testLruBlockCache					TinyLfuBlockCache.java:196	
Bug-26	OOM	HBase	hbase.bucketcache.writer.threads=1369950487	org.apache.hadoop.hbase.io.hfile.TestBlockCacheReporting#testBucketCache						
Bug-27	OOM	MapReduce	mapreduce.output.fileoutputformat.compress=true io.file.buffer.size=1510943493	org.apache.hadoop.mapred.TestFileOutputCommitter#testRecoveryV1						
Bug-28	OOM	HDFS	dfs.namenode.handler.count=1077903103	org.apache.hadoop.fs.contract.hdfs.TestHDFSContractMultipartUploader#testCompleteEmptyUploadID					Server.java:3418	
Bug-29	OOM	HDFS	dfs.namenode.reencrypt.batch.size=1640153608	org.apache.hadoop.hdfs.TestEncryptionZones#testRootDirEZTrash					ReencryptionHandler.java:488	
