note	bugId	status	times	testName	failure	failureMessage	stackTrace	reproStatus	replayedFailure	replayedErrorMessage	replayedStackTrace	replayedFile	minConfig	debugFiles
	Bug-52	BUG	1	org.apache.hadoop.io.compress.TestCodec#testSnappyMapFile	java.lang.ArrayIndexOutOfBoundsException		org.apache.hadoop.io.compress.snappy.SnappyCompressor.setInput(SnappyCompressor.java:86), org.apache.hadoop.io.compress.BlockCompressorStream.write(BlockCompressorStream.java:112), java.base/java.io.BufferedOutputStream.flushBuffer(BufferedOutputStream.java:81), java.base/java.io.BufferedOutputStream.flush(BufferedOutputStream.java:142), java.base/java.io.DataOutputStream.flush(DataOutputStream.java:123), org.apache.hadoop.io.SequenceFile$BlockCompressWriter.writeBuffer(SequenceFile.java:1588), org.apache.hadoop.io.SequenceFile$BlockCompressWriter.sync(SequenceFile.java:1605), org.apache.hadoop.io.SequenceFile$BlockCompressWriter.append(SequenceFile.java:1663), org.apache.hadoop.io.SequenceFile$Writer.append(SequenceFile.java:1425), org.apache.hadoop.io.MapFile$Writer.append(MapFile.java:327), org.apache.hadoop.io.compress.TestCodec.createMapFile(TestCodec.java:638), org.apache.hadoop.io.compress.TestCodec.codecTestMapFile(TestCodec.java:620), org.apache.hadoop.io.compress.TestCodec.testSnappyMapFile(TestCodec.java:607), org.apache.hadoop.io.compress.TestCodec.testSnappyMapFile$$CONFUZZ(TestCodec.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.illinois.confuzz.internal.ConfuzzGuidance.run(ConfuzzGuidance.java:101), edu.berkeley.cs.jqf.fuzz.junit.quickcheck.FuzzStatement.evaluate(FuzzStatement.java:144), org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100), org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63), org.junit.runners.ParentRunner$4.run(ParentRunner.java:331), org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79), org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329), org.junit.runners.ParentRunner.access$100(ParentRunner.java:66), org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:293), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), org.junit.runners.ParentRunner.run(ParentRunner.java:413), org.junit.runner.JUnitCore.run(JUnitCore.java:137), edu.berkeley.cs.jqf.fuzz.junit.GuidedFuzzing.run(GuidedFuzzing.java:208), edu.illinois.confuzz.internal.FuzzForkMain.main(FuzzForkMain.java:41),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.io.compress.TestCodec/testSnappyMapFile/campaign/failures/debug_000000	{"io.compression.codec.snappy.buffersize": "4", "io.seqfile.compress.blocksize": "767"}	["debug_000000"]
	Bug-213	BUG	1	org.apache.hadoop.io.file.tfile.TestTFileNoneCodecsByteArrays#testTwoDataEntries	java.lang.OutOfMemoryError	Java heap space	java.base/java.io.BufferedInputStream.<init>(BufferedInputStream.java:209), org.apache.hadoop.io.file.tfile.Compression$Algorithm$3.createDecompressionStream(Compression.java:237), org.apache.hadoop.io.file.tfile.BCFile$Reader$RBlockState.<init>(BCFile.java:505), org.apache.hadoop.io.file.tfile.BCFile$Reader.createReader(BCFile.java:732), org.apache.hadoop.io.file.tfile.BCFile$Reader.getMetaBlock(BCFile.java:709), org.apache.hadoop.io.file.tfile.BCFile$Reader.<init>(BCFile.java:639), org.apache.hadoop.io.file.tfile.TFile$Reader.<init>(TFile.java:804), org.apache.hadoop.io.file.tfile.TestTFileByteArrays.readRecords(TestTFileByteArrays.java:618), org.apache.hadoop.io.file.tfile.TestTFileByteArrays.readRecords(TestTFileByteArrays.java:612), org.apache.hadoop.io.file.tfile.TestTFileByteArrays.testTwoDataEntries(TestTFileByteArrays.java:137), org.apache.hadoop.io.file.tfile.TestTFileNoneCodecsByteArrays.testTwoDataEntries$$CONFUZZ(TestTFileNoneCodecsByteArrays.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26), org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.illinois.confuzz.internal.ConfuzzGuidance.run(ConfuzzGuidance.java:101), edu.berkeley.cs.jqf.fuzz.junit.quickcheck.FuzzStatement.evaluate(FuzzStatement.java:144), org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100), org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63), org.junit.runners.ParentRunner$4.run(ParentRunner.java:331), org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79), org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329), org.junit.runners.ParentRunner.access$100(ParentRunner.java:66),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.io.file.tfile.TestTFileNoneCodecsByteArrays/testTwoDataEntries/campaign/failures/debug_000002	{"hadoop.security.dns.log-slow-lookups.threshold.ms": "767", "hadoop.security.groups.cache.secs": "344", "fs.client.resolve.remote.symlinks": "false", "hadoop.security.dns.log-slow-lookups.enabled": "false", "hadoop.service.shutdown.timeout": "1000039h", "file.stream-buffer-size": "2095218431", "fs.local.block.size": "767", "hadoop.security.auth_to_local": "RULE:[1:$1] RULE:[2:$1]", "io.file.buffer.size": "1769154518", "tfile.fs.input.buffer.size": "2130640638", "hadoop.kerberos.min.seconds.before.relogin": "30769", "hadoop.kerberos.keytab.login.autorenewal.enabled": "false", "hadoop.security.groups.negative-cache.secs": "22701", "hadoop.security.group.mapping": "org.apache.hadoop.security.JniBasedUnixGroupsMappingWithFallback", "tfile.fs.output.buffer.size": "767", "fs.creation.parallel.count": "456", "file.bytes-per-checksum": "1020", "hadoop.security.groups.cache.warn.after.ms": "27"}	["debug_000002"]
	Bug-3	BUG	1	org.apache.hadoop.ipc.TestRPC#testDecayRpcSchedulerMetrics	java.lang.OutOfMemoryError	Java heap space	java.base/java.util.PriorityQueue.<init>(PriorityQueue.java:172), java.base/java.util.PriorityQueue.<init>(PriorityQueue.java:139), org.apache.hadoop.metrics2.util.Metrics2Util$TopN.<init>(Metrics2Util.java:80), org.apache.hadoop.ipc.DecayRpcScheduler.getTopCallers(DecayRpcScheduler.java:1002), org.apache.hadoop.ipc.DecayRpcScheduler.addTopNCallerSummary(DecayRpcScheduler.java:982), org.apache.hadoop.ipc.DecayRpcScheduler.getMetrics(DecayRpcScheduler.java:935), org.apache.hadoop.ipc.DecayRpcScheduler$MetricsProxy.getMetrics(DecayRpcScheduler.java:893), org.apache.hadoop.test.MetricsAsserts.getMetrics(MetricsAsserts.java:94), org.apache.hadoop.test.MetricsAsserts.getMetrics(MetricsAsserts.java:103), org.apache.hadoop.test.MetricsAsserts.getMetrics(MetricsAsserts.java:99), org.apache.hadoop.ipc.TestRPC.testDecayRpcSchedulerMetrics(TestRPC.java:1426), org.apache.hadoop.ipc.TestRPC.testDecayRpcSchedulerMetrics$$CONFUZZ(TestRPC.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.illinois.confuzz.internal.ConfuzzGuidance.run(ConfuzzGuidance.java:101), edu.berkeley.cs.jqf.fuzz.junit.quickcheck.FuzzStatement.evaluate(FuzzStatement.java:144), org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100), org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63), org.junit.runners.ParentRunner$4.run(ParentRunner.java:331), org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79), org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.ipc.TestRPC/testDecayRpcSchedulerMetrics/campaign/failures/debug_000001	{"decay-scheduler.metrics.top.user.count": "1724464059"}	["debug_000001"]
	Bug-243	BUG	1	org.apache.hadoop.ipc.TestRPC#testClientBackOff	java.lang.ClassCastException	class org.apache.hadoop.ipc.RpcException cannot be cast to class org.apache.hadoop.ipc.RemoteException (org.apache.hadoop.ipc.RpcException and org.apache.hadoop.ipc.RemoteException are in unnamed module of loader 'app')	org.apache.hadoop.ipc.TestRPC.testClientBackOff(TestRPC.java:1208), org.apache.hadoop.ipc.TestRPC.testClientBackOff$$CONFUZZ(TestRPC.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.illinois.confuzz.internal.ConfuzzGuidance.run(ConfuzzGuidance.java:101), edu.berkeley.cs.jqf.fuzz.junit.quickcheck.FuzzStatement.evaluate(FuzzStatement.java:144), org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100), org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63), org.junit.runners.ParentRunner$4.run(ParentRunner.java:331), org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79), org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329), org.junit.runners.ParentRunner.access$100(ParentRunner.java:66), org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:293), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), org.junit.runners.ParentRunner.run(ParentRunner.java:413), org.junit.runner.JUnitCore.run(JUnitCore.java:137), edu.berkeley.cs.jqf.fuzz.junit.GuidedFuzzing.run(GuidedFuzzing.java:208), edu.illinois.confuzz.internal.FuzzForkMain.main(FuzzForkMain.java:41),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.ipc.TestRPC/testClientBackOff/campaign/failures/debug_000002	{"ipc.maximum.response.length": "40"}	["debug_000002"]
	Bug-175	BUG	1	org.apache.hadoop.fs.contract.localfs.TestLocalFSContractSeek#testSeekBigFile	java.lang.OutOfMemoryError	Java heap space	org.apache.hadoop.fs.FSInputChecker.set(FSInputChecker.java:485), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSInputChecker.<init>(ChecksumFileSystem.java:173), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSInputChecker.<init>(ChecksumFileSystem.java:153), org.apache.hadoop.fs.ChecksumFileSystem$ChecksumFSInputChecker.read(ChecksumFileSystem.java:210), org.apache.hadoop.fs.FSInputStream.readFully(FSInputStream.java:124), org.apache.hadoop.fs.FSDataInputStream.readFully(FSDataInputStream.java:117), org.apache.hadoop.fs.contract.AbstractContractSeekTest.testSeekBigFile(AbstractContractSeekTest.java:301), org.apache.hadoop.fs.contract.localfs.TestLocalFSContractSeek.testSeekBigFile$$CONFUZZ(TestLocalFSContractSeek.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26), org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27), org.junit.rules.TestWatcher$1.evaluate(TestWatcher.java:61), org.junit.internal.runners.statements.FailOnTimeout$CallableStatement.call(FailOnTimeout.java:299), org.junit.internal.runners.statements.FailOnTimeout$CallableStatement.call(FailOnTimeout.java:293), java.base/java.util.concurrent.FutureTask.run(FutureTask.java:264), java.base/java.lang.Thread.run(Thread.java:829),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.fs.contract.localfs.TestLocalFSContractSeek/testSeekBigFile/campaign/failures/debug_000000	{"hadoop.security.groups.cache.warn.after.ms": "2147461118", "file.bytes-per-checksum": "1435584346"}	["debug_000000"]
	Bug-208	BUG	1	org.apache.hadoop.io.file.tfile.TestTFileStreams#testOneEntryMixedLengths1	java.lang.OutOfMemoryError	Java heap space	org.apache.hadoop.io.compress.DecompressorStream.<init>(DecompressorStream.java:64), org.apache.hadoop.io.compress.DecompressorStream.<init>(DecompressorStream.java:71), org.apache.hadoop.io.compress.DefaultCodec.createInputStream(DefaultCodec.java:92), org.apache.hadoop.io.file.tfile.Compression$Algorithm$2.createDecompressionStream(Compression.java:196), org.apache.hadoop.io.file.tfile.BCFile$Reader$RBlockState.<init>(BCFile.java:505), org.apache.hadoop.io.file.tfile.BCFile$Reader.createReader(BCFile.java:732), org.apache.hadoop.io.file.tfile.BCFile$Reader.getMetaBlock(BCFile.java:709), org.apache.hadoop.io.file.tfile.BCFile$Reader.<init>(BCFile.java:639), org.apache.hadoop.io.file.tfile.TFile$Reader.<init>(TFile.java:804), org.apache.hadoop.io.file.tfile.TestTFileByteArrays.readRecords(TestTFileByteArrays.java:618), org.apache.hadoop.io.file.tfile.TestTFileStreams.testOneEntryMixedLengths1(TestTFileStreams.java:127), org.apache.hadoop.io.file.tfile.TestTFileStreams.testOneEntryMixedLengths1$$CONFUZZ(TestTFileStreams.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26), org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.illinois.confuzz.internal.ConfuzzGuidance.run(ConfuzzGuidance.java:101), edu.berkeley.cs.jqf.fuzz.junit.quickcheck.FuzzStatement.evaluate(FuzzStatement.java:144), org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100), org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63), org.junit.runners.ParentRunner$4.run(ParentRunner.java:331), org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79), org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.io.file.tfile.TestTFileStreams/testOneEntryMixedLengths1/campaign/failures/debug_000002	{"tfile.fs.input.buffer.size": "2130640638", "file.bytes-per-checksum": "2130640638", "tfile.io.chunk.size": "847"}	["debug_000002"]
		FP	1	org.apache.hadoop.ipc.TestRPC#testClientBackOff	org.mockito.exceptions.verification.WantedButNotInvoked	Wanted but not invoked:callQueueManager.addInternal(<any>, false);-> at org.apache.hadoop.ipc.TestRPC.testClientBackOff(TestRPC.java:1203)However, there were exactly 2 interactions with this mock:callQueueManager.take();-> at org.apache.hadoop.ipc.Server$Handler.run(Server.java:2942)callQueueManager.size();-> at org.apache.hadoop.ipc.Server$ConnectionManager.register(Server.java:3800)	org.apache.hadoop.ipc.TestRPC.testClientBackOff(TestRPC.java:1203), org.apache.hadoop.ipc.TestRPC.testClientBackOff$$CONFUZZ(TestRPC.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.illinois.confuzz.internal.ConfuzzGuidance.run(ConfuzzGuidance.java:101), edu.berkeley.cs.jqf.fuzz.junit.quickcheck.FuzzStatement.evaluate(FuzzStatement.java:144), org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100), org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63), org.junit.runners.ParentRunner$4.run(ParentRunner.java:331), org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79), org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329), org.junit.runners.ParentRunner.access$100(ParentRunner.java:66), org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:293), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), org.junit.runners.ParentRunner.run(ParentRunner.java:413), org.junit.runner.JUnitCore.run(JUnitCore.java:137), edu.berkeley.cs.jqf.fuzz.junit.GuidedFuzzing.run(GuidedFuzzing.java:208), edu.illinois.confuzz.internal.FuzzForkMain.main(FuzzForkMain.java:41),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.ipc.TestRPC/testClientBackOff/campaign/failures/debug_000000	{"ipc.maximum.data.length": "81"}	["debug_000000"]
		FP	1	org.apache.hadoop.ipc.TestMultipleProtocolServer#testPBService	org.apache.hadoop.ipc.RpcException	RPC response exceeds maximum data length	org.apache.hadoop.ipc.Client$IpcStreams.readResponse(Client.java:1936), org.apache.hadoop.security.SaslRpcClient.saslConnect(SaslRpcClient.java:367), org.apache.hadoop.ipc.Client$Connection.setupSaslConnection(Client.java:623), org.apache.hadoop.ipc.Client$Connection.access$2300(Client.java:414), org.apache.hadoop.ipc.Client$Connection$2.run(Client.java:843), org.apache.hadoop.ipc.Client$Connection$2.run(Client.java:839), java.base/java.security.AccessController.doPrivileged(Native Method), java.base/javax.security.auth.Subject.doAs(Subject.java:423), org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1878), org.apache.hadoop.ipc.Client$Connection.setupIOstreams(Client.java:839), org.apache.hadoop.ipc.Client$Connection.access$3800(Client.java:414), org.apache.hadoop.ipc.Client.getConnection(Client.java:1677), org.apache.hadoop.ipc.Client.call(Client.java:1502), org.apache.hadoop.ipc.Client.call(Client.java:1455), org.apache.hadoop.ipc.ProtobufRpcEngine2$Invoker.invoke(ProtobufRpcEngine2.java:242), org.apache.hadoop.ipc.ProtobufRpcEngine2$Invoker.invoke(ProtobufRpcEngine2.java:129), com.sun.proxy.$Proxy23.ping(Unknown Source), org.apache.hadoop.ipc.TestProtoBufRpc.testProtoBufRpc(TestProtoBufRpc.java:243), org.apache.hadoop.ipc.TestMultipleProtocolServer.testPBService(TestMultipleProtocolServer.java:66), org.apache.hadoop.ipc.TestMultipleProtocolServer.testPBService$$CONFUZZ(TestMultipleProtocolServer.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26), org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.illinois.confuzz.internal.ConfuzzGuidance.run(ConfuzzGuidance.java:101), edu.berkeley.cs.jqf.fuzz.junit.quickcheck.FuzzStatement.evaluate(FuzzStatement.java:144), org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100), org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63), org.junit.runners.ParentRunner$4.run(ParentRunner.java:331), org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79), org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329), org.junit.runners.ParentRunner.access$100(ParentRunner.java:66), org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:293), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), org.junit.runners.ParentRunner.run(ParentRunner.java:413), org.junit.runner.JUnitCore.run(JUnitCore.java:137), edu.berkeley.cs.jqf.fuzz.junit.GuidedFuzzing.run(GuidedFuzzing.java:208), edu.illinois.confuzz.internal.FuzzForkMain.main(FuzzForkMain.java:41),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.ipc.TestMultipleProtocolServer/testPBService/campaign/failures/debug_000005	{"hadoop.security.authentication": "kerberos", "ipc.maximum.response.length": "6"}	["debug_000005"]
		FP	1	org.apache.hadoop.ipc.TestAsyncIPC#testCallIdAndRetry	org.apache.hadoop.ipc.RpcException	RPC response exceeds maximum data length	org.apache.hadoop.ipc.Client$IpcStreams.readResponse(Client.java:1936), org.apache.hadoop.ipc.Client$Connection.receiveRpcResponse(Client.java:1238), org.apache.hadoop.ipc.Client$Connection.run(Client.java:1134),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.ipc.TestAsyncIPC/testCallIdAndRetry/campaign/failures/debug_000003	{"ipc.maximum.response.length": "48", "hadoop.security.authorization": "true"}	["debug_000003"]
		FP	1	org.apache.hadoop.ipc.TestIPCServerResponder#testResponseBuffer	java.lang.AssertionError		org.junit.Assert.fail(Assert.java:87), org.junit.Assert.assertTrue(Assert.java:42), org.junit.Assert.assertFalse(Assert.java:65), org.junit.Assert.assertFalse(Assert.java:75), org.apache.hadoop.ipc.TestIPCServerResponder.checkServerResponder(TestIPCServerResponder.java:174), org.apache.hadoop.ipc.TestIPCServerResponder.testResponseBuffer(TestIPCServerResponder.java:142), org.apache.hadoop.ipc.TestIPCServerResponder.testResponseBuffer$$CONFUZZ(TestIPCServerResponder.java), java.base/java.lang.reflect.Method.invoke(Method.java:566), org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:59), org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12), org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:56), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner$1.evaluate(TrialRunner.java:59), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), edu.berkeley.cs.jqf.fuzz.junit.TrialRunner.run(TrialRunner.java:65), edu.illinois.confuzz.internal.ConfuzzGuidance.run(ConfuzzGuidance.java:101), edu.berkeley.cs.jqf.fuzz.junit.quickcheck.FuzzStatement.evaluate(FuzzStatement.java:144), org.junit.runners.BlockJUnit4ClassRunner$1.evaluate(BlockJUnit4ClassRunner.java:100), org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:366), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:103), org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:63), org.junit.runners.ParentRunner$4.run(ParentRunner.java:331), org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:79), org.junit.runners.ParentRunner.runChildren(ParentRunner.java:329), org.junit.runners.ParentRunner.access$100(ParentRunner.java:66), org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:293), org.junit.runners.ParentRunner$3.evaluate(ParentRunner.java:306), org.junit.runners.ParentRunner.run(ParentRunner.java:413), org.junit.runner.JUnitCore.run(JUnitCore.java:137), edu.berkeley.cs.jqf.fuzz.junit.GuidedFuzzing.run(GuidedFuzzing.java:208), edu.illinois.confuzz.internal.FuzzForkMain.main(FuzzForkMain.java:41),	REPRODUCIBLE				/home/ctestfuzz/fuzz-hadoop/hadoop-common-project/hadoop-common/target/meringue/org.apache.hadoop.ipc.TestIPCServerResponder/testResponseBuffer/campaign/failures/debug_000000	{"ipc.maximum.data.length": "51"}	["debug_000000"]
